InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
LACM,Fish,11076-18,2,Symbolophorus symbolophorus,Myctophidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,sp. B,2018-10-08
LACM,Fish,11076-19,11,Hygophum bruuni,Myctophidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-20,12,Lampanyctus australis,Myctophidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-21,3,Lampanyctodes hectoris,Myctophidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-22,1,Diaphus hudsoni,Myctophidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-23,1,Gonostoma bathyphilum,Gonostomatidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-24,1,Nannobrachium wisneri,Myctophidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,questionable on species identification,2018-10-08
LACM,Fish,11076-25,1,Lampanyctus intricarius,Myctophidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-26,38,Lampanyctus iselinoides,Myctophidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-27,3,Electrona paucirastra,Myctophidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-28,6,Metelectrona ventralis,Myctophidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-29,5,Protomyctophum parallelum,Myctophidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-30,6,Lampichthys rectangularis,Myctophidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-31,5,Protomyctophum subparallelum,Myctophidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-8,1,Macrouridae,Macrouridae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-7,5,Argyropelecus argyropelecus,Sternoptychidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-9,2,Paralepididae,Paralepididae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-10,1,Saccopharynx lavenbergi,Saccopharyngidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-11,5,Scopeloberyx scopeloberyx,Melamphaidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-12,1,Scopelogadus scopelogadus,Melamphaidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-13,1,Platytroctidae,Platytroctidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-1,1,Gyrinomimus grahami,Cetomimidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-2,1,Woodsia meyerwaardeni,Phosichthyidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-3,,Cyclothone cyclothone,Gonostomatidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,series,2018-10-08
LACM,Fish,11076-4,1,Astronesthes astronesthes,Stomiidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-5,4,Bathylagus bathylagus,Bathylagidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-6,1,Gonostoma gonostoma,Gonostomatidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-32,1,Protomyctophum protomyctophum,Myctophidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,sp. C,2018-10-08
LACM,Fish,11076-33,1,Avocettina avocettina,Nemichthyidae,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
LACM,Fish,11076-34,6,,,originally: 10% formalin,,30°0'0'' S,74°48'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Peru-Chile Trench, South America",,4575,1964,10,2,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,larvae coll.,2018-10-08
LACM,Fish,11155-1,2,Centroscyllium nigrum,Etmopteridae,originally: 10% Formalin,,53°24'0'' S,70°51'0'' W,,not recorded (forced WGS84),Chile,,,,,"South Pacific Ocean, South Pacific | Chile | - | - | Strait of Magellan, off Punta Arenas",,311,1966,3,31,USNS Eltanin,,Calculated from original coordinates,PreservedSpecimen,,2018-10-08
