InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,decimalLatitude,decimalLongitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
CAS,ICH,38645,99,Percilia gillissi,Perciliidae,alc-75% EtOH; alc-75% EtOH; alc-75% EtOH; alc-75% EtOH,,-36.8166670000,-73.0500000000,-36.8166670000,-73.0500000000,,,Chile,Biobio Region,,,,"Lower end of Estero Nonguen, into Rio Andalien on grounds of agricultural college at edge of Concepcion; 90 m elev.",,,1919,3,20,"Eigenmann, Carl H.",,,PreservedSpecimen,"ON LOAN: to Camm Swift, LACM; Inv. no. 77-1327, 5 specimens have been stained and cleared, in alc in separate jar.",2018-12-20 17:41:13.0
CAS,ICH,38661,15,Percilia gillissi,Perciliidae,alc-75% EtOH,,-33.6062710000,-70.8764940000,-33.6062710000,-70.8764940000,3036.00000000000000,,Chile,,,,,Penaflor.,,,1919,3,29,"Eigenmann, Carl H.",,Coordinates at Peñaflor.,PreservedSpecimen,,2003-05-21 12:27:50.0
CAS,ICH,40606,47,Percichthys trucha,Percichthyidae,alc,,-41.2074550000,-72.5383980000,-41.2074550000,-72.5383980000,1063.00000000000000,,Chile,,,,,Ensenada,,,1919,3,9,"Eigenmann, Carl H.",,,PreservedSpecimen,,2013-08-28 17:17:16.0
CAS,ICH,42587,98,Basilichthys microlepidotus,Atherinopsidae,alc-75% EtOH; C&S-glycerine,,-29.9137550000,-71.2750280000,-29.9137550000,-71.2750280000,6862.00000000000000,,Chile,Coquimbo,,,,La Serena.,,,1919,4,8,"Eigenmann, Carl H.",,,PreservedSpecimen,1 of 99 specs. removed to CAS 12687.,1999-07-12 00:00:00.0
CAS,ICH,44699,54,Basilichthys australis,Atherinopsidae,alc-75% EtOH,,-40.5833330000,-73.1500000000,-40.5833330000,-73.1500000000,,,Chile,Los Lagos,,,,"R. Rahue, Osorno; 25 m elev.",,,1919,3,14,"Eigenmann, Carl H.",,,PreservedSpecimen,"Publ.: Mem. Natl. Acad. Sci. Wash., v.22(mem.2): 59, pl.12 (fig.3), 14 (fig.5).",2013-06-28 00:00:00.0
CAS,ICH,44702,6,Cauque mauleanum,Atherinopsidae,alc-75% EtOH,,-41.0857320000,-72.0219840000,-41.0857320000,-72.0219840000,946.00000000000000,,Chile,,,,,"Peulta, Lake Todos Los Santos",,,1919,2,27,"Eigenmann, Carl H.",,"Coordinates at Peulla, on the NE corner of Lago Todos Los Santos.",PreservedSpecimen,,2013-06-28 00:00:00.0
CAS,ICH,44703,32,Basilichthys australis,Atherinopsidae,alc-75% EtOH,,-33.8665080000,-70.7536600000,-33.8665080000,-70.7536600000,2803.00000000000000,,Chile,Santiago Metropolitan Region,,,,"Rio Angustura, Hospital, Santiago.",,,1919,4,22,"Eigenmann, Carl H.",,Polygon covers Rio Angostura (trib. of Rio Maipo)around Hospital.,PreservedSpecimen,"Publ.: Mem. Natl. Acad. Sci. Wash., v.22(mem.2): 59, pl.12 (fig.3), 14 (fig.5).",2013-06-28 00:00:00.0
CAS,ICH,44752,1,Cauque mauleanum,Atherinopsidae,alc-75% EtOH,,-39.8268070000,-73.2347170000,-39.8268070000,-73.2347170000,3913.00000000000000,,Chile,,,,,"Valdivia, near sea",,,,,,"Eigenmann, Carl H.",,Coordinates at Valdivia.,PreservedSpecimen,1 REMOVED AS CAS 66923; X-RAYED (FIG. 2 ON NEGATIVE),2013-06-28 00:00:00.0
CAS,ICH,45179,8,Basilichthys australis,Atherinopsidae,alc-75% EtOH; radiograph,,-39.8268070000,-73.2347170000,-39.8268070000,-73.2347170000,3913.00000000000000,,Chile,,,,,Valdivia.,,,1919,2,18,"Eigenmann, Carl H.",,Coordinates at Valdivia.,PreservedSpecimen,"Publ.: Mem. Natl. Acad. Sci. Wash., v.22(mem.2): 59, pl.12 (fig.3), 14 (fig.5).",2013-06-28 00:00:00.0
CAS,ICH,45180,42,Basilichthys australis,Atherinopsidae,alc-75% EtOH,,-38.5316710000,-72.4304240000,-38.5316710000,-72.4304240000,1998.00000000000000,,Chile,,,,,Lantaro.,,,1919,2,16,"Eigenmann, Carl H.",,Coordinates at Lautaro.,PreservedSpecimen,"Publ.: Mem. Natl. Acad. Sci. Wash., v.22(mem.2): 59, pl.12 (fig.3), 14 (fig.5).",2013-06-28 00:00:00.0
CAS,ICH,45181,30,Cauque mauleanum,Atherinopsidae,alc-75% EtOH,,-37.0094440000,-72.6000000000,-37.0094440000,-72.6000000000,,,Chile,Biobio Region,,,,"Rio Bio Bio, Coigue; 66 m elev.",,,1919,3,20,"Eigenmann, Carl H.",,,PreservedSpecimen,Irwin Expedition,2013-06-28 00:00:00.0
CAS,ICH,45182,21,Basilichthys australis,Atherinopsidae,alc-75% EtOH,,-39.8268070000,-73.2347170000,-39.8268070000,-73.2347170000,3913.00000000000000,,Chile,,,,,Valdivia.,,,1919,2,18,"Eigenmann, Carl H.",,Coordinates at Valdivia.,PreservedSpecimen,"Publ.: Mem. Natl. Acad. Sci. Wash., v.22(mem.2): 59, pl.12 (fig.3), 14 (fig.5).",2013-06-28 00:00:00.0
CAS,ICH,45183,18,Basilichthys australis,Atherinopsidae,alc-75% EtOH,,-33.6049490000,-70.9099470000,-33.6049490000,-70.9099470000,2478.00000000000000,,Chile,Santiago Metropolitan Region,,,,"Penaflor, Santiago.",,,1919,3,26,"Eigenmann, Carl H.",,Polygon covers Rio Mapocho around Peñaflor.,PreservedSpecimen,"Publ.: Mem. Natl. Acad. Sci. Wash., v.22(mem.2): 59, pl.12 (fig.3), 14 (fig.5).",2013-06-28 00:00:00.0
CAS,ICH,45184,9,Basilichthys australis,Atherinopsidae,alc-75% EtOH,,-35.5971510000,-71.7309550000,-35.5971510000,-71.7309550000,1569.00000000000000,,Chile,,,,,San Javier.,,,1919,3,26,"Eigenmann, Carl H.",,,PreservedSpecimen,"Publ.: Mem. Natl. Acad. Sci. Wash., v.22(mem.2): 59, pl.12 (fig.3), 14 (fig.5).",2013-06-28 00:00:00.0
CAS,ICH,45186,30,Basilichthys microlepidotus,Atherinopsidae,alc-75% EtOH; C&S-glycerine,,-32.7799660000,-71.2002130000,-32.7799660000,-71.2002130000,3720.00000000000000,,Chile,Valparaiso Region,,,,"Rio Aconcagua, La Calera.",,,1919,4,13,"Eigenmann, Carl H.",,Polygon covers Rio Aconcagua around La Calera.,PreservedSpecimen,Irwin Expedition,1995-11-30 00:00:00.0
CAS,ICH,45187,43,Basilichthys microlepidotus,Atherinopsidae,alc-75% EtOH,,-31.7257840000,-71.2044080000,-31.7257840000,-71.2044080000,1102.00000000000000,,Chile,Coquimbo,,,,"Rio Choapa, Choapa.",,,1919,4,10,"Eigenmann, Carl H.",,Polygon covers Rio Choapa around Choapa.,PreservedSpecimen,Irwin expedition,1995-11-30 00:00:00.0
CAS,ICH,45188,15,Basilichthys australis,Atherinopsidae,alc-75% EtOH,,-33.6049270000,-71.6004420000,-33.6049270000,-71.6004420000,2736.00000000000000,,Chile,,,,,Rio Llo-Lleo.,,,1919,3,28,"Eigenmann, Carl H.",,Polygon covers Estero Llolleo.,PreservedSpecimen,"Publ.: Mem. Natl. Acad. Sci. Wash., v.22(mem.2): 59, pl.12 (fig.3), 14 (fig.5).",2013-06-28 00:00:00.0
CAS,ICH,45190,30,Basilichthys australis,Atherinopsidae,alc-75% EtOH,,-37.5537410000,-72.5909590000,-37.5537410000,-72.5909590000,1232.00000000000000,,Chile,,,,,Coigue.,,,1919,3,28,"Eigenmann, Carl H.",,Polygon covers Rio Bio Bio at Coihue,PreservedSpecimen,"Publ.: Mem. Natl. Acad. Sci. Wash., v.22(mem.2): 59, pl.12 (fig.3), 14 (fig.5).",2013-06-28 00:00:00.0
