"taxa.list$scientificName_Old","usageKey","scientificName","canonicalName","rank","status","type","formattedName","matchType","confidence","timeTaken","kingdom","phylum","order","family","kingdomKey","phylumKey","orderKey","familyKey","value","verbatim_name","verbatim_rank","authorship","code","genericName","specificEpithet","genus","species","genusKey","speciesKey","note","unranked","unrankedKey","class","classKey","infraspecificEpithet","subspecies","subspeciesKey"
"Galaxias delfini Philippi, 1895","5214306","Galaxias delfini Philippi, 1895","Galaxias delfini","SPECIES","SYNONYM","SCIENTIFIC","<i>Galaxias</i> <i>delfini</i> Philippi, 1895","EXACT",100,9,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",TRUE,"Galaxias delfini Philippi, 1895","higher","Philippi, 1895","ZOOLOGICAL","Galaxias","delfini","Galaxias","Galaxias platei","2410478","5214305",NA,NA,NA,NA,NA,NA,NA,NA
"Galaxias globiceps","5214258","Galaxias globiceps Eigenmann, 1928","Galaxias globiceps","SPECIES","ACCEPTED","SCIENTIFIC","<i>Galaxias</i> <i>globiceps</i> Eigenmann, 1928","EXACT",99,5,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Galaxias globiceps","higher","Eigenmann, 1928","ZOOLOGICAL","Galaxias","globiceps","Galaxias","Galaxias globiceps","2410478","5214258",NA,NA,NA,NA,NA,NA,NA,NA
"Galaxias maculatus","5214265","Galaxias maculatus (Jenyns, 1842)","Galaxias maculatus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Galaxias</i> <i>maculatus</i> (Jenyns, 1842)","EXACT",99,5,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Galaxias maculatus","higher","(Jenyns, 1842)","ZOOLOGICAL","Galaxias","maculatus","Galaxias","Galaxias maculatus","2410478","5214265",NA,NA,NA,NA,NA,NA,NA,NA
"Galaxias maculatus ","5214265","Galaxias maculatus (Jenyns, 1842)","Galaxias maculatus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Galaxias</i> <i>maculatus</i> (Jenyns, 1842)","EXACT",99,4,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Galaxias maculatus ","higher","(Jenyns, 1842)","ZOOLOGICAL","Galaxias","maculatus","Galaxias","Galaxias maculatus","2410478","5214265",NA,NA,NA,NA,NA,NA,NA,NA
"Galaxias maculatus (Jenyns, 1842)","5214265","Galaxias maculatus (Jenyns, 1842)","Galaxias maculatus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Galaxias</i> <i>maculatus</i> (Jenyns, 1842)","EXACT",100,9,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Galaxias maculatus (Jenyns, 1842)","higher","(Jenyns, 1842)","ZOOLOGICAL","Galaxias","maculatus","Galaxias","Galaxias maculatus","2410478","5214265",NA,NA,NA,NA,NA,NA,NA,NA
"Galaxias platei","5214305","Galaxias platei Steindachner, 1898","Galaxias platei","SPECIES","ACCEPTED","SCIENTIFIC","<i>Galaxias</i> <i>platei</i> Steindachner, 1898","EXACT",99,9,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Galaxias platei","higher","Steindachner, 1898","ZOOLOGICAL","Galaxias","platei","Galaxias","Galaxias platei","2410478","5214305",NA,NA,NA,NA,NA,NA,NA,NA
"Galaxias platei Steindachner, 1898","5214305","Galaxias platei Steindachner, 1898","Galaxias platei","SPECIES","ACCEPTED","SCIENTIFIC","<i>Galaxias</i> <i>platei</i> Steindachner, 1898","EXACT",100,5,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Galaxias platei Steindachner, 1898","higher","Steindachner, 1898","ZOOLOGICAL","Galaxias","platei","Galaxias","Galaxias platei","2410478","5214305",NA,NA,NA,NA,NA,NA,NA,NA
"Galaxias plattii","5214305","Galaxias platei Steindachner, 1898","Galaxias platei","SPECIES","ACCEPTED","SCIENTIFIC","<i>Galaxias</i> <i>platei</i> Steindachner, 1898","VARIANT",96,4,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Galaxias plattii","higher","Steindachner, 1898","ZOOLOGICAL","Galaxias","platei","Galaxias","Galaxias platei","2410478","5214305",NA,NA,NA,NA,NA,NA,NA,NA
"Galaxias sp.","1","Animalia","Animalia","KINGDOM","ACCEPTED","SCIENTIFIC","<i>Animalia</i>","HIGHERRANK",92,29,"Animalia",NA,NA,NA,"1",NA,NA,NA,FALSE,"Galaxias sp.","higher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galaxiidae","4224","Galaxiidae","Galaxiidae","FAMILY","ACCEPTED","SCIENTIFIC","<i>Galaxiidae</i>","HIGHERRANK",94,2,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Galaxiidae","higher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galaxiidae sp.","4224","Galaxiidae","Galaxiidae","FAMILY","ACCEPTED","SCIENTIFIC","<i>Galaxiidae</i>","HIGHERRANK",94,1,"Animalia","Chordata","Osmeriformes","Galaxiidae","1","44","1068","4224",FALSE,"Galaxiidae sp.","higher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gambusia affinis","2350580","Gambusia affinis (Baird & Girard, 1853)","Gambusia affinis","SPECIES","ACCEPTED","SCIENTIFIC","<i>Gambusia</i> <i>affinis</i> (Baird & Girard, 1853)","EXACT",99,8,"Animalia","Chordata","Cyprinodontiformes","Poeciliidae","1","44","547","7659",FALSE,"Gambusia affinis","higher","(Baird & Girard, 1853)","ZOOLOGICAL","Gambusia","affinis","Gambusia","Gambusia affinis","2349552","2350580",NA,NA,NA,NA,NA,NA,NA,NA
"Genypterus Philippi, 1857","2345634","Genypterus Philippi, 1857","Genypterus","GENUS","ACCEPTED","SCIENTIFIC","<i>Genypterus</i> Philippi, 1857","HIGHERRANK",99,15,"Animalia","Chordata","Ophidiiformes","Ophidiidae","1","44","1308","8476",FALSE,"Genypterus Philippi, 1857","higher","Philippi, 1857","ZOOLOGICAL",NA,NA,"Genypterus",NA,"2345634",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Genypterus blacodes","2345645","Genypterus blacodes (Forster, 1801)","Genypterus blacodes","SPECIES","ACCEPTED","SCIENTIFIC","<i>Genypterus</i> <i>blacodes</i> (Forster, 1801)","EXACT",99,12,"Animalia","Chordata","Ophidiiformes","Ophidiidae","1","44","1308","8476",FALSE,"Genypterus blacodes","higher","(Forster, 1801)","ZOOLOGICAL","Genypterus","blacodes","Genypterus","Genypterus blacodes","2345634","2345645",NA,NA,NA,NA,NA,NA,NA,NA
"Genypterus blacodes (Forster, 1801)","2345645","Genypterus blacodes (Forster, 1801)","Genypterus blacodes","SPECIES","ACCEPTED","SCIENTIFIC","<i>Genypterus</i> <i>blacodes</i> (Forster, 1801)","EXACT",100,12,"Animalia","Chordata","Ophidiiformes","Ophidiidae","1","44","1308","8476",FALSE,"Genypterus blacodes (Forster, 1801)","higher","(Forster, 1801)","ZOOLOGICAL","Genypterus","blacodes","Genypterus","Genypterus blacodes","2345634","2345645",NA,NA,NA,NA,NA,NA,NA,NA
"Genypterus chilensis","2345641","Genypterus chilensis (Guichenot, 1848)","Genypterus chilensis","SPECIES","ACCEPTED","SCIENTIFIC","<i>Genypterus</i> <i>chilensis</i> (Guichenot, 1848)","EXACT",99,12,"Animalia","Chordata","Ophidiiformes","Ophidiidae","1","44","1308","8476",FALSE,"Genypterus chilensis","higher","(Guichenot, 1848)","ZOOLOGICAL","Genypterus","chilensis","Genypterus","Genypterus chilensis","2345634","2345641",NA,NA,NA,NA,NA,NA,NA,NA
"Genypterus chilensis (Guichenot, 1848)","2345641","Genypterus chilensis (Guichenot, 1848)","Genypterus chilensis","SPECIES","ACCEPTED","SCIENTIFIC","<i>Genypterus</i> <i>chilensis</i> (Guichenot, 1848)","EXACT",100,6,"Animalia","Chordata","Ophidiiformes","Ophidiidae","1","44","1308","8476",FALSE,"Genypterus chilensis (Guichenot, 1848)","higher","(Guichenot, 1848)","ZOOLOGICAL","Genypterus","chilensis","Genypterus","Genypterus chilensis","2345634","2345641",NA,NA,NA,NA,NA,NA,NA,NA
"Genypterus maculatus","2345636","Genypterus maculatus (Tschudi, 1846)","Genypterus maculatus","SPECIES","ACCEPTED","SCIENTIFIC","<i>Genypterus</i> <i>maculatus</i> (Tschudi, 1846)","EXACT",99,12,"Animalia","Chordata","Ophidiiformes","Ophidiidae","1","44","1308","8476",FALSE,"Genypterus maculatus","higher","(Tschudi, 1846)","ZOOLOGICAL","Genypterus","maculatus","Genypterus","Genypterus maculatus","2345634","2345636",NA,NA,NA,NA,NA,NA,NA,NA
