id,latitude,longitude,cntry_code,country,obs_date,t_kingdom,t_phylum,t_class,t_order,t_family,t_genus,t_species,database,inst,collection,provider,records,year,month
"4559243","-40.5636","-70.6167","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559293","-40.5167","-70.35","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559269","-40.5","-71.35","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559270","-40.4667","-71.5","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559271","-40.45","-71.5833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559325","-40.4333","-63.6833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4559264","-40.3","-70.6667","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Odontesthes","Odontesthes hatcheri","SSTN","FO","Peces","Fundación Óga","1","",""
"4554700","-40.4333","-63.6833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Characiformes","Characidae","Cheirodon","Cheirodon interruptus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556432","-40.9833","-66.6667","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Characiformes","Characidae","Gymnocharacinus","Gymnocharacinus bergii","SSTN","FO","Peces","Fundación Óga","2","",""
"4556430","-40.9833","-66.6667","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Characiformes","Characidae","Gymnocharacinus","Gymnocharacinus bergii","SSTN","MLP","Peces","Fundación Óga","1","",""
"4558752","-40.8167","-63","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Lycengraulis","Lycengraulis grossidens","SSTN","MLP","Peces","Fundación Óga","2","",""
"4555945","-40.4333","-63.6833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio","SSTN","FO","Peces","Fundación Óga","1","",""
"4558147","-42.7667","-65.05","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Anablepidae","Jenynsia","Jenynsia multidentata","SSTN","MLP","Peces","Fundación Óga","1","",""
"4558119","-40.8167","-63","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Anablepidae","Jenynsia","Jenynsia multidentata","SSTN","FO","Peces","Fundación Óga","1","",""
"4558118","-40.6667","-62.3333","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Anablepidae","Jenynsia","Jenynsia multidentata","SSTN","MLP","Peces","Fundación Óga","1","",""
"4558146","-40.5833","-63.5667","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Anablepidae","Jenynsia","Jenynsia multidentata","SSTN","MLP","Peces","Fundación Óga","1","",""
"4558199","-40.4333","-63.6833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Anablepidae","Jenynsia","Jenynsia multidentata","SSTN","FO","Peces","Fundación Óga","1","",""
"4556148","-54.5833","-66.9167","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556182","-50.5258","-72.6989","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
"4556139","-50.3167","-72.2833","AR","ARGENTINA"," ","Animalia","Chordata","Actinopterygii","Osmeriformes","Galaxiidae","Galaxias","Galaxias maculatus","SSTN","FO","Peces","Fundación Óga","1","",""
