"occurrenceID","decimalLatitude","decimalLongitude","eventDate","scientificName","datasetName","institutionCode","collectionCode","license","rightsHolder","accessRights"
"4556229",-44.2,-71.6,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556231",-44.2,-71.3667,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556243",-44.1667,-71.35,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556292",-44.1667,-71.3,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556291",-44.1333,-71.6333,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556290",-44.1333,-71.4333,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556228",-44.1167,-71.3667,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556230",-43.9333,-71.5333,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556289",-43.8167,-71.5,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556287",-43.7833,-71.35,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556284",-43.4167,-71.65,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556247",-43.3333,-71.2167,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556286",-43.3167,-71.1667,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
"4556245",-43.2333,-71.1,NA,"Galaxias platei","DataBasin-Los Peces de Argentina; Originally provided by Fundación Óga through SSTN","FO","Peces","CC BY-NC 3.0","Conservation Biology Institute, http://consbio.org","not-for-profit use only"
