"occurrenceID","bibliographicCitation","decimalLatitude","decimalLongitude","eventDate","year","scientificName","locality","stateProvince","references","associatedReferences","catalogNumber","institutionCode","recordedBy","samplingProtocol","individualCount","X","X.1","canonicalName","rank","kingdom","phylum","order","family","genus","species"
"Boisjoly.Lit.Review.0024","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-42.983333","-72.333333","1984","1984","Oncorhynchus mykiss (Walbaum, 1792)","río Vuelta y Vuelta","Aysén","","","","","","","","","","Oncorhynchus mykiss","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"Boisjoly.Lit.Review.0025","Campos, H., Arenas, J., Jara, C., Gonser, T., & Prins, R. (1984). Macrozoobentos y fauna íctica de las aguas limnéticas de Chiloé y Aysén continentales (Chile). Medio Ambiente, 7, 52–64.","-45.166667","-72.133333","1984","1984","Salmo trutta Linnaeus, 1758","río Ñirehuao","Aysén","","","","","","","","","","Salmo trutta","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
"Boisjoly.Lit.Review.0026","Cussac, V. E., Ortubay, S., Iglesias, G., Milano, D., Lattuca, M. E., Barriga, J. P., Battini, M., & Gross, M. (2004). The distribution of South American galaxiid fishes: The role of biological traits and post-glacial history. Journal of Biogeography, 31, 103–121.","-51.224588","-72.730358","1901","1901","Aplochiton taeniatus Jenyns, 1842","Lago Toro","","Smitt 1901 | Campos, 1969","","","","","","","","","Aplochiton taeniatus","SPECIES","Animalia","Chordata","Osmeriformes","Galaxiidae","Aplochiton","Aplochiton taeniatus"
"Boisjoly.Lit.Review.0027","Fernández, M. V., Lallement, M., Rechencq, M., Vigliano, P. H., Sosnovsky, A., & Macchi, P. J. (2018). Top predator fish assemblages in Northern Patagonia, Argentina. What factors regulate their patterns of distribution and abundance? Austral Ecology, 43(6), 651–662. https://doi.org/10.1111/aec.12610","-41.3561","-71.7332","","1997","Salvelinus fontinalis (Mitchill, 1814)","Lago Hess","","","","","","","","","","","Salvelinus fontinalis","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis"
"Boisjoly.Lit.Review.0028","Fernández, M. V., Lallement, M., Rechencq, M., Vigliano, P. H., Sosnovsky, A., & Macchi, P. J. (2018). Top predator fish assemblages in Northern Patagonia, Argentina. What factors regulate their patterns of distribution and abundance? Austral Ecology, 43(6), 651–662. https://doi.org/10.1111/aec.12610","-41.26","-71.64","1997","1997","Oncorhynchus mykiss (Walbaum, 1792)","Lago Mascardi","","","","","GEMARI","","Gill net","","","","Oncorhynchus mykiss","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"Boisjoly.Lit.Review.0029","Fernández, M. V., Lallement, M., Rechencq, M., Vigliano, P. H., Sosnovsky, A., & Macchi, P. J. (2018). Top predator fish assemblages in Northern Patagonia, Argentina. What factors regulate their patterns of distribution and abundance? Austral Ecology, 43(6), 651–662. https://doi.org/10.1111/aec.12610","-41.3721","-71.7753","1997","1997","Oncorhynchus mykiss (Walbaum, 1792)","Lago Roca","","","","","GEMARI","","Gill net","","","","Oncorhynchus mykiss","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"Boisjoly.Lit.Review.0030","Fernández, M. V., Lallement, M., Rechencq, M., Vigliano, P. H., Sosnovsky, A., & Macchi, P. J. (2018). Top predator fish assemblages in Northern Patagonia, Argentina. What factors regulate their patterns of distribution and abundance? Austral Ecology, 43(6), 651–662. https://doi.org/10.1111/aec.12610","-41.3721","-71.7753","1997","1997","Salmo trutta Linnaeus, 1758","Lago Roca","","","","","GEMARI","","Gill net","","","","Salmo trutta","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
"Boisjoly.Lit.Review.0031","Fernández, M. V., Lallement, M., Rechencq, M., Vigliano, P. H., Sosnovsky, A., & Macchi, P. J. (2018). Top predator fish assemblages in Northern Patagonia, Argentina. What factors regulate their patterns of distribution and abundance? Austral Ecology, 43(6), 651–662. https://doi.org/10.1111/aec.12610","-41.3721","-71.7753","1997","1997","Salvelinus fontinalis (Mitchill, 1814)","Lago Roca","","","","","GEMARI","","Gill net","","","","Salvelinus fontinalis","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis"
"Boisjoly.Lit.Review.0032","Fernández, M. V., Lallement, M., Rechencq, M., Vigliano, P. H., Sosnovsky, A., & Macchi, P. J. (2018). Top predator fish assemblages in Northern Patagonia, Argentina. What factors regulate their patterns of distribution and abundance? Austral Ecology, 43(6), 651–662. https://doi.org/10.1111/aec.12610","-41.36903","-71.77735","","1997","Salvelinus fontinalis (Mitchill, 1814)","Lago Roca","","","","","","","","","","","Salvelinus fontinalis","SPECIES","Animalia","Chordata","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis"
"Boisjoly.Lit.Review.0033","Günther, A. (1881). Account of the Zoological Collections made during the Survey of H.M.S. ‘Alert’ in the Straits of Magellan and on the Coast of Patagonia. Proceedings of the Zoological Society of London, 49(1), 2–141. https://doi.org/10.1111/j.1096-3642.1881.tb01270.x","-50.20025","-74.80827","1879","1879","Aplochiton zebra Jenyns, 1842","Tom Bay","","","","1917.7.14.4-5","NHMUK","","","","","","Aplochiton zebra","SPECIES","Animalia","Chordata","Osmeriformes","Galaxiidae","Aplochiton","Aplochiton zebra"
