bibliographicCitation,decimalLatitude,decimalLongitude,eventDate,year,canonicalName,scientificName,locality,stateProvince,references,associatedReferences,catalogNumber,institutionCode,recordedBy,samplingProtocol,individualCount
"Fernández, M. V., Lallement, M., Rechencq, M., Vigliano, P. H., Sosnovsky, A., & Macchi, P. J. (2018). Top predator fish assemblages in Northern Patagonia, Argentina. What factors regulate their patterns of distribution and abundance? Austral Ecology, 43(6), 651–662. https://doi.org/10.1111/aec.12610",-41.3721,-71.7753,1997,1997,Salvelinus fontinalis,"Salvelinus fontinalis (Mitchill, 1814)",Lago Roca,,,,,GEMARI,,Gill net,
"Günther, A. (1881). Account of the Zoological Collections made during the Survey of H.M.S. ‘Alert’ in the Straits of Magellan and on the Coast of Patagonia. Proceedings of the Zoological Society of London, 49(1), 2–141. https://doi.org/10.1111/j.1096-3642.1881.tb01270.x",-50.20025,-74.80827,1879,1879,Aplochiton zebra,"Aplochiton zebra Jenyns, 1842",Tom Bay,,,,1917.7.14.4-5,NHMUK,,,
"Jenyns, L. (1842). The Zoology of the Voyage of H.M.S. Beagle, Under the Command of Captain Fitzroy, R.N., During the Years 1832 to 1836. Part IV, Fish. Smith, Elder & Co.",-55.223545,-67.104515,1833,1833,Aplochiton taeniatus,"Aplochiton taeniatus Jenyns, 1842",Goree Sound,,,,1879.8.20.15-16,NHMUK,,,
NA,-43.140534,-71.449885,2007,2007,Hatcheria macraei,"Hatcheria macraei (Girard, 1855)",Río Miguens,,,,,,Barriga JP & Battini MA,Pesca electrica,
"Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1",-41.983,-71.844,2007/2011,2007,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)","Lago Azul, cuenca del río Puelo",,,,,,,,
"Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1",-41.681,-72.32,2007/2011,2007,Salmo trutta,"Salmo trutta Linnaeus, 1758","Lago Candelaria, cuenca del río Puelo",,,,,,,,
"Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1",-41.681,-72.32,2007/2011,2007,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)","Lago Candelaria, cuenca del río Puelo",,,,,,,,
"Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1",-47.3212260002,-72.5953940003,2007/2011,2007,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)","Lago Esmeralda, cuenca del río Baker",,,,,,,,
"Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1",-42.0964019999,-71.7814599997,2007/2011,2007,Salmo trutta,"Salmo trutta Linnaeus, 1758","Lago Inferior, cuenca del río Puelo",,,,,,,,
"Ortiz-Sandoval, J., Górski, K., Sobenes, C., González, J., Manosalva, A., Elgueta, A., & Habit, E. (2017). Invasive trout affect trophic ecology of Galaxias platei in Patagonian lakes. Hydrobiologia, 790(1), 201–212. https://doi.org/10.1007/s10750-016-3030-1",-42.0964019999,-71.7814599997,2007/2011,2007,Oncorhynchus mykiss,"Oncorhynchus mykiss (Walbaum, 1792)","Lago Inferior, cuenca del río Puelo",,,,,,,,
