fid,GlobalUniqueIdentifier,NOMBRE CIENTÍFICO,LOCALIDAD MÁS CERCANA,PROVINCIA,CUENCA,SUBCUENCA,CUERPO DE AGUA,N° DE CUENCA #,CITA,REGIÓN ICTIOG *,Ecoregion Lopez et al 2008,Decimal Latitude,Decimal Longitude,AÑO,CODIGO INSTITUCIÓN,CODIGO COLECCIÓN,N COLECCIÓN,Continente,País,Voucher,Observ,comments,.remove,.locality,.decimalLatitude,.decimalLongitude
68,FO:Peces:4814,Hatcheria macraei,Bajo Caracoles,Santa Cruz,Pacífico,Lagos Buenos Aires - Pueyrredón,Río Blanco,79,"Bello, 2002",DAP,Patagonian,-47.35,-71,2002,FO,Peces,4814,América del Sur,Argentina,No,,"-47.576943, -71.380845",,,-47.576943,-71.380845
69,FO:Peces:4833,Odontesthes hatcheri,Filo Hua Hum,Neuquén,Río Filo Hua Hum,Río Filo Hua Hum,Lago Filo Hua Hum,74,"Bello, 2002",DAP,Patagonian,-40.5,-71.35,2002,FO,Peces,4833,América del Sur,Argentina,No,,remove,remove,,,
70,FO:Peces:4859,Odontesthes hatcheri,Epuyén,Chubut,Pacífico,Río Puelo,Lago Epuyén,75,"Bello, 2002",DAP,Patagonian,-42.2,-71.5,2002,FO,Peces,4859,América del Sur,Argentina,No,,,,,,
71,FO:Peces:4860,Odontesthes hatcheri,Cholila,Chubut,Pacífico,Río Futaleufú,Lago Lezama,76,"Bello, 2002",DAP,Patagonian,-42.45,-71.4833333333333,2002,FO,Peces,4860,América del Sur,Argentina,No,,,,,,
72,FO:Peces:4861,Odontesthes hatcheri,,Chubut,,,Lago Terraplén,76,"Bello, 2002",DAP,Patagonian,-42.8333333333333,-71.2666666666667,2002,FO,Peces,4861,América del Sur,Argentina,No,,"-42.984161, -71.520743",,,-42.984161,-71.520743
73,FO:Peces:4862,Odontesthes hatcheri,Laguna Rosario,Chubut,Pacífico,Río Futaleufú,Lago Rosario,76,"Bello, 2002",DAP,Patagonian,-43.2666666666667,-71.3333333333333,2002,FO,Peces,4862,América del Sur,Argentina,No,,,,,,
74,FO:Peces:4866,Odontesthes hatcheri,Lago Puelo,Chubut,Río Manso,Río Manso,Lago Puelo,75,"Bello, 2002",DAP,Patagonian,-42.1166666666667,-71.6333333333333,2002,FO,Peces,4866,América del Sur,Argentina,No,,,,,,
75,FO:Peces:4867,Odontesthes hatcheri,Trevelín,Chubut,Pacífico,Río Futaleufú,Lago Futalaufquen,76,"Bello, 2002",DAP,Patagonian,-42.8333333333333,-71.6333333333333,2002,FO,Peces,4867,América del Sur,Argentina,No,,,,,,
76,FO:Peces:4872,Odontesthes hatcheri,Cholila,Chubut,Pacífico,Río Futaleufú,Laguna de los Cisnes,76,"Bello, 2002",DAP,Patagonian,-42.4333333333333,-71.4,2002,FO,Peces,4872,América del Sur,Argentina,No,,"-42.600000, -71.916700",,,-42.6,-71.9167
77,FO:Peces:4873,Odontesthes hatcheri,Los Antiguos,Santa Cruz,Pacífico (río Aysen),Río Deseado,Lago Buenos Aires,79,"Bello, 2002",DAP,Patagonian,-46.5333333333333,-71.6166666666667,2002,FO,Peces,4873,América del Sur,Argentina,No,,,,,,
78,FO:Peces:4874,Odontesthes hatcheri,Lago Posadas,Santa Cruz,Pacífico,-,Lago Posadas,79,"Bello, 2002",DAP,Patagonian,-47.5166666666667,-71.8,2002,FO,Peces,4874,América del Sur,Argentina,No,,,,,,
79,FO:Peces:4891,Aplochiton taeniatus,-,Tierra del Fuego,Pacífico,Cuenca del Lago Fagnano,Lago Fagnano,82,"Arratia et al., 1983",DAP,Patagonian,-54.55,-68.3333333333333,1983,FO,Peces,4891,América del Sur,Argentina,No,,,,,,
