X,Y,Lon,Lat,Site_ID,Old_SiteID
-73.00660636,-36.83176933,678004.22,5922228.55,176,18.04
-73.01686637,-36.81993789,677116.37,5923560.33,177,18.05
-73.01686637,-36.81993789,677116.37,5923560.33,177,18.05
-69.35552759,-18.34327687,1097396.75,7962912.25,178,20.01
-69.33552927,-18.28105908,1099733.41,7969757.31,179,20.02
-71.89208846,-37.35157809,775530.95,5861883.24,180,19.01
-71.89208846,-37.35157809,775530.95,5861883.24,180,19.01
-71.67542247,-37.31716069,794863.29,5865048.9,181,19.02
-71.67542247,-37.31716069,794863.29,5865048.9,181,19.02
-71.79762946,-37.34281385,783933.41,5862576.1,182,19.03
-71.79762946,-37.34281385,783933.41,5862576.1,182,19.03
-71.72988336,-37.37606544,789808.85,5858679.54,183,19.04
-71.72988336,-37.37606544,789808.85,5858679.54,183,19.04
-72.92370126,-37.16638768,684588.61,5884942.53,184,54.01
-72.92370126,-37.16638768,684588.61,5884942.53,184,54.01
-72.59309948,-37.54104504,712887.1,5842672.46,185,54.02
-72.59309948,-37.54104504,712887.1,5842672.46,185,54.02
-72.0086116,-37.67194776,764075.45,5826660.16,186,54.03
-72.0086116,-37.67194776,764075.45,5826660.16,186,54.03
-71.30087622,-37.35083029,827921.46,5860076.1,187,54.04
-71.30087622,-37.35083029,827921.46,5860076.1,187,54.04
-71.26756635,-38.68348532,824929.69,5712016.24,188,54.05
-71.26756635,-38.68348532,824929.69,5712016.24,188,54.05
-71.26831353,-38.78077555,824423.91,5701217.54,189,54.06
-71.26831353,-38.78077555,824423.91,5701217.54,189,54.06
-71.96735347,-37.23924461,769262.51,5874567.55,190,21.01
-71.96735347,-37.23924461,769262.51,5874567.55,190,21.01
-72.12111581,-37.10805884,756061.24,5889552.7,191,21.02
-72.12111581,-37.10805884,756061.24,5889552.7,191,21.02
-72.41571013,-36.75020165,730954.14,5930017.03,192,21.03
-72.41571013,-36.75020165,730954.14,5930017.03,192,21.03
-71.94589978,-37.31882556,770880.76,5865674,193,22.01
-71.94589978,-37.31882556,770880.76,5865674,193,22.01
-72.00441561,-37.17430753,766201.9,5881879.22,194,22.02
-72.00441561,-37.17430753,766201.9,5881879.22,194,22.02
-72.39811968,-36.85075992,732221.17,5918815.88,195,22.03
-72.39811968,-36.85075992,732221.17,5918815.88,195,22.03
-72.09889382,-36.89424762,758760.07,5913220.71,196,22.04
-72.09889382,-36.89424762,758760.07,5913220.71,196,22.04
-70.83559208,-31.54553482,895683.21,6502724.7,197,23.01
-70.9622006,-31.87002171,882315.52,6467169.25,198,24.01
-71.39640442,-38.096887,816265.03,5777586.4,199,25.01
-71.39640442,-38.096887,816265.03,5777586.4,199,25.01
-71.43050078,-38.06051379,813429.21,5781739.86,200,25.02
-71.43050078,-38.06051379,813429.21,5781739.86,200,25.02
-71.41918145,-38.0842648,814320.97,5779064.99,201,25.03
-71.41918145,-38.0842648,814320.97,5779064.99,201,25.03
-71.44959269,-38.0456103,811816.79,5783458.55,202,25.04
-71.45111632,-38.04948322,811666.6,5783033.73,203,25.05
-71.51969246,-37.99361201,805879.19,5789463.67,204,25.06
-71.51969246,-37.99361201,805879.19,5789463.67,204,25.06
-71.45685804,-38.21071983,810478.32,5765154.13,205,25.07
-71.4114435,-38.11264959,814877.99,5775887.74,206,25.08
-71.41166497,-38.11939244,814829.59,5775139.96,207,25.09
-71.42104743,-38.13014764,813960.65,5773977.82,208,25.1
-71.53114743,-38.16809111,804148.81,5770132.86,209,25.11
-71.37061572,-38.1067415,818484.59,5776404.21,210,25.12
-71.96717893,-34.12388354,779958.96,6220257.07,211,34.01
-71.26700122,-34.99235326,841002.62,6121734.72,212,26.01
-71.16332341,-35.72318135,847324.09,6040261.15,213,27.01
-70.90707318,-35.79857569,870168.46,6030953.46,214,27.02
-70.94418122,-35.81880811,866719.53,6028847.4,215,27.03
-70.75568428,-35.81478834,883781.29,6028570.01,216,27.04
-71.50127507,-52.2382074,739120.94,4206911.43,217,47.01
-71.50127507,-52.2382074,739120.94,4206911.43,217,47.01
-71.41200861,-52.18261046,745520.24,4212794.35,218,47.02
-71.41200861,-52.18261046,745520.24,4212794.35,218,47.02
-71.42460461,-52.05775522,745343.98,4226718.05,219,47.03
-71.42460461,-52.05775522,745343.98,4226718.05,219,47.03
-71.62610551,-52.21570545,730716.78,4209817.78,220,47.04
-71.48306509,-52.19625421,740590.46,4211515.58,221,47.05
-71.48306509,-52.19625421,740590.46,4211515.58,221,47.05
-71.53756762,-52.15145429,737104.77,4216675.93,222,47.06
-71.53756762,-52.15145429,737104.77,4216675.93,222,47.06
-71.40577529,-52.22580966,745707.86,4207970.42,223,47.07
-71.38705762,-52.11319155,747610.19,4220427.38,224,47.08
-71.38705762,-52.11319155,747610.19,4220427.38,224,47.08
-71.41841484,-32.62979653,836303.8,6384394.98,225,48.01
-71.36504109,-32.58854187,841471.52,6388801.86,226,48.02
-71.48281759,-32.74705244,829825.66,6371588.1,227,48.03
-71.44471432,-32.73832072,833430.75,6372437.46,228,48.04
-71.50578398,-32.88248729,827175.2,6356633.44,229,48.05
-71.45925188,-32.85891904,831619.14,6359102.96,230,48.06
-71.50263917,-32.92047329,827329.7,6352409.23,231,48.07
-71.39052596,-32.95480714,837690.26,6348245.73,232,48.08
-71.14977926,-33.02409002,859929.98,6339759.05,233,48.09
-71.42744136,-32.92012598,834367.73,6352211.53,234,48.1
-71.24137287,-32.83570687,852114.44,6360972.51,235,48.11
-71.2034464,-32.72390342,856112.94,6373251.2,236,48.12
-70.88294959,-32.78870802,885896.27,6364935.18,237,48.13
-70.69932073,-32.77097533,903190.94,6366217.34,238,48.14
-70.5277001,-32.83754774,918971.41,6358159.56,239,48.15
-70.41749602,-32.86203401,929180.58,6354997.98,240,48.16
-70.30792637,-32.62163448,940630.9,6381234.06,241,48.17
-70.22092427,-32.88973742,947458.5,6351104.11,242,48.18
-70.26609146,-32.96302673,942861.55,6343158.79,243,48.19
-70.17361916,-32.8415075,952134.95,6356256.65,244,48.2
-70.62874057,-32.52748258,910923.81,6392971.85,245,48.21
-71.4718829,-33.06605884,829665.46,6336160.49,246,48.22
-71.32567099,-33.14723736,843009.33,6326684.02,247,48.23
-71.49150025,-33.28962288,827000.59,6311417.27,248,48.24
-71.53098223,-33.15289393,823825.38,6326710.42,249,48.25
-71.57866294,-33.38987985,818513.23,6300563.76,250,48.26
-71.12847348,-33.31469942,860727.71,6307437.07,251,48.27
-71.06536145,-33.42175859,866158.58,6295335.88,252,48.28
-71.25172396,-33.57975652,848182.7,6278444.75,253,48.29
-72.51411474,-38.69056808,716448.17,5714912.28,254,61.01
-70.13442024,-32.81602062,955939.43,6358917.47,255,61.02
-70.19794098,-32.87413469,949690.35,6352738.41,256,61.03
-70.27013454,-32.95377953,942529.37,6344202.44,257,61.04
-72.44353025,-38.67066527,722649.94,5716952.37,258,61.05
-73.04623297,-36.91178601,674288.2,5913423.43,259,59.01
-73.08583267,-36.87767337,670835.94,5917279.88,260,59.02
-73.1085622,-36.85181656,668866.76,5920189.14,261,59.03
-68.30401954,-21.50327794,1194959.34,7607572.72,262,28.01
-71.94484855,-38.42263926,766960.06,5743155.08,263,49.01
-71.94484855,-38.42263926,766960.06,5743155.08,263,49.01
-71.93382409,-38.46679685,767759.51,5738221.53,264,49.02
-71.93382409,-38.46679685,767759.51,5738221.53,264,49.02
-72.19354605,-38.54191244,744839.77,5730607.13,265,49.03
-72.19354605,-38.54191244,744839.77,5730607.13,265,49.03
-71.63109454,-39.45024342,790138.91,5628120,266,49.04
-71.63109454,-39.45024342,790138.91,5628120,266,49.04
-71.77344704,-39.40676077,778059.24,5633395.93,267,49.05
-71.77344704,-39.40676077,778059.24,5633395.93,267,49.05
-72.19452423,-39.17372507,742598.46,5660477.57,268,49.06
-72.19452423,-39.17372507,742598.46,5660477.57,268,49.06
-71.82343543,-39.25797148,774335.05,5650066.77,269,49.07
-71.82343543,-39.25797148,774335.05,5650066.77,269,49.07
-72.22066701,-39.33749774,739781.17,5642367.28,270,49.08
-72.22066701,-39.33749774,739781.17,5642367.28,270,49.08
-72.06808551,-38.95243488,754316.21,5684696.56,271,49.09
-72.06808551,-38.95243488,754316.21,5684696.56,271,49.09
-71.89993604,-39.70496001,766023.88,5600672.82,272,49.1
-71.89993604,-39.70496001,766023.88,5600672.82,272,49.1
-72.13412441,-39.76166839,745740.53,5595045.79,273,49.11
-72.13412441,-39.76166839,745740.53,5595045.79,273,49.11
-71.95402034,-39.57891626,761861.04,5614824.93,274,49.14
-71.95402034,-39.57891626,761861.04,5614824.93,274,49.14
-72.11777476,-39.77905745,747079.18,5593070.35,275,49.15
-72.11777476,-39.77905745,747079.18,5593070.35,275,49.15
-72.34530579,-40.1149496,726479.71,5556384.24,276,49.17
-72.34530579,-40.1149496,726479.71,5556384.24,276,49.17
-72.34667219,-40.89204433,723766.59,5470111.96,277,49.18
-72.34667219,-40.89204433,723766.59,5470111.96,277,49.18
-72.1239829,-40.20904568,745006.15,5545350.44,278,49.19
-72.1239829,-40.20904568,745006.15,5545350.44,278,49.19
-72.42916615,-40.89660543,716801.19,5469813.11,279,49.2
-72.42916615,-40.89660543,716801.19,5469813.11,279,49.2
-72.11728175,-40.65599041,743956.08,5495709.51,280,49.22
-72.11728175,-40.65599041,743956.08,5495709.51,280,49.22
-72.33383945,-40.70145015,725491.63,5491240.39,281,49.23
-72.33383945,-40.70145015,725491.63,5491240.39,281,49.23
-72.73440397,-40.46196802,692330.02,5518778.06,282,49.25
-72.73440397,-40.46196802,692330.02,5518778.06,282,49.25
-72.62063953,-41.2289961,699662.73,5433364.66,283,49.27
-72.62063953,-41.2289961,699662.73,5433364.66,283,49.27
-72.75767718,-41.27929312,688031.72,5428085.64,284,49.28
-72.75767718,-41.27929312,688031.72,5428085.64,284,49.28
-72.59508716,-41.23143254,701797.12,5433035.16,285,49.29
-72.59508716,-41.23143254,701797.12,5433035.16,285,49.29
-73.07236218,-38.73745599,667779.2,5710878.12,286,49.3
-73.08546257,-39.01534627,665993.41,5680059.93,287,49.31
-73.26076319,-39.83192432,649067.27,5589729.59,288,49.32
-73.19291083,-40.34852893,653708.96,5532268.14,289,49.33
-73.33123795,-41.5056755,639508.63,5404032.93,290,49.34
-73.13925523,-39.72901758,659703.33,5600943.07,291,49.35
-73.22935699,-39.87984644,651649.62,5584357.4,292,49.36
-71.72057618,-37.77056308,789103.44,5814863.47,293,29.01
-71.67872338,-37.82772179,792565.46,5808388.64,294,29.02
-71.66205325,-37.86976325,793866.16,5803669.65,295,29.03
-71.61867014,-37.89551105,797579.9,5800674.03,296,29.04
-71.5692522,-37.95276948,801692.71,5794159.21,297,29.05
-71.46621462,-38.04682072,810352.49,5783379.84,298,29.06
-71.39710618,-38.09797417,816198.78,5777468.1,299,29.07
-71.23281488,-38.43365957,829092.06,5739628.3,300,29.08
-71.27713568,-38.68564043,824087.23,5711810.89,301,29.09
-71.28263491,-38.80043296,823090.53,5699085.87,302,29.1
-71.56964606,-33.68589405,818264.84,6267692.85,303,40.01
-71.07984691,-33.70866966,863604.33,6263546.68,304,41.01
-70.39968354,-34.36934749,923396.03,6187591.87,305,58.01
-70.39968354,-34.36934749,923396.03,6187591.87,305,58.01
-70.40187478,-34.33918463,923346.28,6190949.68,306,58.02
-70.40187478,-34.33918463,923346.28,6190949.68,306,58.02
-70.40148057,-34.33395433,923408.92,6191528.7,307,58.03
-70.40148057,-34.33395433,923408.92,6191528.7,307,58.03
-70.40705029,-34.32877856,922922,6192126.56,308,58.04
-70.40705029,-34.32877856,922922,6192126.56,308,58.04
-70.32447958,-34.38036549,930262.79,6186051.57,309,58.05
-70.32447958,-34.38036549,930262.79,6186051.57,309,58.05
-70.32295777,-34.37648862,930422.76,6186475.52,310,58.06
-70.32295777,-34.37648862,930422.76,6186475.52,310,58.06
-70.89535988,-33.63282592,881050.96,6271298.22,311,53.01
-72.63255302,-39.37688155,704162.1,5639007.08,312,30.01
-72.63255302,-39.37688155,704162.1,5639007.08,312,30.01
-72.81489883,-39.4804592,688174.87,5627906.11,313,30.02
-72.81489883,-39.4804592,688174.87,5627906.11,313,30.02
-72.89116671,-39.55755981,681413.92,5619504.3,314,30.03
