"id_CC","occurrenceID_master","datasetName_tmp","canonicalName","year","eventDate","locality","decimalLatitude","decimalLongitude","bibliographicCitation","catalogNumber","institutionCode","Duplicate","Comment","Remove_from_master",".references",".associatedReferences",".decimalLat",".decimalLon",".locality",".year",".eventDate",".bibliographicCitation",".canonicalName",".scientificName",".catalogNumber",".recordedBy",".occurrenceID"
2252,"a6453ec9-6d6b-45f7-8e87-26b60f54e182","idig","odontesthes",1990,"1990-02-05","quitrako fjord, close to skorpios thermal baths, prov. aysen, xi region; pacific drainage",-45.5333333,-73.1666667,NA,"218453","ummz",NA,"Remove. Tipo in Locality. Should be Quitralco","remove",NA,NA,NA,NA,"Quitralco",NA,NA,NA,NA,NA,NA,NA,NA
2253,"MAguilar.Lit.Review.1060","agui","aplochiton zebra",NA,NA,"laguna quetro",-48.1666666668,-73.1666666672,"Rademacher K. 2007. ","1060",NA,0,"From Zama and Cardenas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2255,"CIMAR1_24_sp16","gbif","atheriniformes",1995,"1995-10-23",NA,-42.9,-73.1583,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2267,"CIMAR1_30_sp16","gbif","atheriniformes",1995,"1995-10-24",NA,-43.5533,-73.1517,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2268,"CIMAR1_21_sp16","gbif","atheriniformes",1995,"1995-10-22",NA,-42.6467,-73.1517,NA,NA,"shoa",NA,"Remove. Added to GBIF in June 1995. Could be removed because they are oceanographic stations.","remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2269,"SUBPESCA.PecesContinentales2019.16175","subpesca-1","aplochiton zebra",2011,NA,NA,-47.684348,-73.146404,"CEA (NA) Monitoreo L","16175",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2270,"SUBPESCA.PecesContinentales2019.21950","subpesca-1","aplochiton zebra",2012,NA,NA,-47.684348,-73.146404,"CEA (NA) Monitoreo L","21950",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2274,"SUBPESCA.PecesContinentales2019.16244","subpesca-1","percichthys trucha",2011,NA,NA,-47.684348,-73.146404,"CEA (NA) Monitoreo L","16244",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2280,"SUBPESCA.PecesContinentales2019.15476","subpesca-1","aplochiton zebra",2009,NA,NA,-47.682555,-73.145149,"CEA (NA) Linea Base ","15476",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2281,"SUBPESCA.PecesContinentales2019.15864","subpesca-1","aplochiton zebra",2010,NA,NA,-47.682555,-73.145149,"CEA (NA) Linea Base ","15864",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2285,"SUBPESCA.PecesContinentales2019.15507","subpesca-1","hatcheria macraei",2009,NA,NA,-47.682555,-73.145149,"CEA (NA) Linea Base ","15507",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2286,"SUBPESCA.PecesContinentales2019.15562","subpesca-1","percichthys trucha",2009,NA,NA,-47.682555,-73.145149,"CEA (NA) Linea Base ","15562",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2303,"SUBPESCA.PecesContinentales2019.15870","subpesca-1","aplochiton zebra",2010,NA,NA,-48.009521,-73.140142,"CEA (NA) Linea Base ","15870",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2314,"MAguilar.Lit.Review.730","agui","galaxias maculatus",2013,NA,"río santa maría",-51.9649999997,-73.1380555556,"Górski, K., González","730",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2315,"MAguilar.Lit.Review.1054","agui","galaxias maculatus",2014,NA,"estuario santa maría",-51.9649999997,-73.1380555556,"Pérez, S., Manosalva","1054",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2316,"MMA:ICT:0002028","mma2","galaxias maculatus",2014,"2014-04-24","rio santa maria. canal santa maria. peninsula cordillera riesco",-51.966,-73.138,"OrigenReg: Base Dato",NA,NA,1,"associatedReferences (Górski et al. 2017 | Pérez et al. 2022)",NA,NA,"Górski et al. 2017 | Pérez et al. 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2331,"MMA:ICT:0000205","mma2","aplochiton zebra",NA,NA,"puerto grey. rio de grey",-51.1171,-73.1267,"FuenteReg: Gunther 1",NA,NA,NA,"Gunther 1880. Change coordinates to -48.91905°, -74.3134°. Specimens collected by the H.M.S. Challenger in Messier Channel. eventDate 1876, catalogNumber BMNH 1879.5.14.597-598",NA,NA,NA,-48.91905,-74.3134,NA,1876,"1876",NA,NA,NA,"BMNH 1879.5.14.597-598","H.M.S. Challenger Expedition",NA
