dataset.x,id_CC_old.x,match_id.x,fieldgood,fieldbad,logodd.ratio,precent.good,percent.bad,checked
agui,5438,4947,7,0,0.903089986991944,53.8461538461538,0,
agui,5440,4949,7,0,0.903089986991944,53.8461538461538,0,
agui,5442,4951,7,0,0.903089986991944,53.8461538461538,0,
agui,5443,4952,7,0,0.903089986991944,53.8461538461538,0,
agui,5444,4953,7,0,0.903089986991944,53.8461538461538,0,
mma2,5445,4954,8,2,0.477121254719662,61.5384615384615,15.3846153846154,
mma2,5455,4959,7,0,0.903089986991944,53.8461538461538,0,
mma2,5458,4962,8,2,0.477121254719662,61.5384615384615,15.3846153846154,
mma2,5468,4967,8,2,0.477121254719662,61.5384615384615,15.3846153846154,
agui,5489,4987,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,5490,4988,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
subpesca-1,5503,5001,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,5505,5003,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,5641,5135,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
fishgis_metadatabase_ccorrea,5759,5244,8,0,0.954242509439325,61.5384615384615,0,
subpesca-1,5828,5308,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,5829,5309,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
subpesca-1,5831,5311,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
vert,5858,5327,11,1,0.778151250383644,84.6153846153846,7.69230769230769,
mma2,5863,5336,8,2,0.477121254719662,61.5384615384615,15.3846153846154,
subpesca-1,5865,5337,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,5885,5355,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
vert,5892,5362,11,0,1.07918124604762,84.6153846153846,0,
subpesca-1,5912,5378,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,5949,5415,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
mma2,5950,5416,8,2,0.477121254719662,61.5384615384615,15.3846153846154,
subpesca-1,5958,5422,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,5969,5432,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,5970,5433,7,0,0.903089986991944,53.8461538461538,0,
agui,5971,5434,10,1,0.740362689494244,76.9230769230769,7.69230769230769,
agui,5972,5435,7,0,0.903089986991944,53.8461538461538,0,
agui,5973,5436,7,0,0.903089986991944,53.8461538461538,0,
mma2,5977,5440,8,2,0.477121254719662,61.5384615384615,15.3846153846154,
mma2,5986,5448,8,2,0.477121254719662,61.5384615384615,15.3846153846154,
mma2,6145,5604,8,2,0.477121254719662,61.5384615384615,15.3846153846154,
mma2,6151,5609,8,2,0.477121254719662,61.5384615384615,15.3846153846154,
mma2,6153,5610,8,2,0.477121254719662,61.5384615384615,15.3846153846154,
agui,6254,5710,7,0,0.903089986991944,53.8461538461538,0,
agui,6256,5712,8,0,0.954242509439325,61.5384615384615,0,
agui,6477,5928,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,6478,5929,7,0,0.903089986991944,53.8461538461538,0,
agui,6479,5930,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,6480,5931,7,0,0.903089986991944,53.8461538461538,0,
agui,6481,5932,9,1,0.698970004336019,69.2307692307692,7.69230769230769,
agui,6482,5933,7,0,0.903089986991944,53.8461538461538,0,
