id_CC_original,id_CC_original,match_id,correcting_match,match_status,n_keys_used,match_keys_used,datasetName,canonicalName,year,eventDate,locality,decimalLatitude,decimalLongitude,bibliographicCitation,catalogNumber,occurrenceID,institutionCode,Duplicate,Comment,.references,.associatedReferences,.decimalLatitude,.decimalLongitude,.locality,.year,.eventDate,.bibliographicCitation,.canonicalName,.scientificName,.catalogNumber,.recordedBy,.occurrenceID
423,423,333,,matched,5,datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation,agui,salmo trutta,NA,NA,lago huillinco,-42.670143,-73.9482679998,"Cussac, V.E.; Barran",521,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
544,544,449,,matched,3,datasetName;canonicalName;decimalLatitude,mma2,galaxias maculatus,2007,2007-12-22,lago tepuhueico. en lodge tepuhueico. costera vertiente oeste entre rio cucao (incluido) y rio medina (incluido),-42.803,-73.924,OrigenReg: Base Dato,NA,NA,NA,NA,associatedReference: (Habit et al. 2012),NA,Habit et al. 2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
549,549,451,"unlink, same collection diff batch",matched,3,datasetName;canonicalName;decimalLatitude,gbif,galaxiidae,1968,1968-04-07,chiloe' island,-42.5,-73.92,NA,a22279,58746fd2-cb16-4b27-97c6-5d98b423d12e,nmv,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
552,552,455,,matched,3,datasetName;canonicalName;decimalLatitude,agui,oncorhynchus mykiss,2007,NA,"sitio de muestreo granja 2, chiloé",-42.4206,-73.9194999996,"Consuegra, S., Phill",273,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
559,559,461,,matched,3,datasetName;canonicalName;decimalLatitude,agui,eleginops maclovinus,NA,NA,canales de chiloé,-42.666666667,-73.9166666666,Rademacher K. 2007. ,1072,NA,NA,0,Remove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
560,560,462,,matched,3,datasetName;canonicalName;decimalLatitude,agui,galaxias maculatus,NA,NA,canales de chiloé,-42.666666667,-73.9166666666,Rademacher K. 2007. ,1081,NA,NA,0,Remove,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
902,902,802,good,matched,3,datasetName;canonicalName;decimalLatitude,mma2,galaxias maculatus,2006,2006-07-17,lago huillinco. costera vertiente oeste entre rio cucao (incluido) y rio medina (incluido),-42.67,-73.897,OrigenReg: Base Dato,NA,NA,NA,NA,associatedReference: (Habit et al. 2012),NA,Habit et al. 2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
967,967,858,,matched,5,datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation,agui,oncorhynchus mykiss,2006,NA,lago natri,-42.79468,-73.8136410003,"Habit, E., Gonzalez,",765,NA,NA,1,"associatedsReference: (Cussac et al., 2020)",NA,"Cussac et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
968,968,859,,matched,5,datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation,agui,oncorhynchus mykiss,NA,NA,lago natri,-42.79468,-73.8136410003,"Cussac, V.E.; Barran",522,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
969,969,860,,matched,5,datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation,agui,salmo trutta,2006,NA,lago natri,-42.79468,-73.8136410003,"Habit, E., Gonzalez,",764,NA,NA,1,"associatedsReference: (Cussac et al., 2020)",NA,"Cussac et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
970,970,861,,matched,5,datasetName;canonicalName;decimalLatitude;decimalLongitude;bibliographicCitation,agui,salmo trutta,NA,NA,lago natri,-42.79468,-73.8136410003,"Cussac, V.E.; Barran",523,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
988,988,874,,matched,3,datasetName;canonicalName;decimalLatitude,mma2,brachygalaxias bullocki,2002,NA,río puntra. rio chepu,-42.118,-73.809,FuenteReg: Gonzalez ,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990,990,875,,matched,3,datasetName;canonicalName;decimalLatitude,mma2,cheirodon australe,2002,NA,río puntra. rio chepu,-42.118,-73.809,FuenteReg: Gonzalez ,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
992,992,876,,matched,3,datasetName;canonicalName;decimalLatitude,mma2,galaxias platei,2002,NA,río puntra. rio chepu,-42.118,-73.809,FuenteReg: Gonzalez ,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994,994,877,,matched,3,datasetName;canonicalName;decimalLatitude,mma2,trichomycterus areolatus,2002,NA,río puntra. rio chepu,-42.118,-73.809,FuenteReg: Gonzalez ,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1021,1021,895,,matched,3,datasetName;canonicalName;decimalLatitude,mma2,cheirodon australe,1993,NA,lago tarahuín. en zona litoral. costera vertiente oeste entre rio cucao (incluido) y rio medina (incluido),-42.717,-73.8,FuenteReg: Campos et,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1052,1052,914,,matched,3,datasetName;canonicalName;decimalLatitude,mma2,galaxias maculatus,2006,2006-12-22,lago tarahuin. costera vertiente oeste entre rio cucao (incluido) y rio medina (incluido),-42.722,-73.781,OrigenReg: Base Dato,NA,NA,NA,NA,associatedReference: (Habit et al. 2012),NA,Habit et al. 2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1125,1125,984,good,matched,3,datasetName;canonicalName;decimalLatitude,mma2,galaxias maculatus,2006,2006-07-17,lago natri. costeras vertientes este entre punta ahoni y punta yatac,-42.804,-73.778,OrigenReg: Base Dato,NA,NA,NA,NA,associatedReference: (Habit et al. 2012),NA,Habit et al. 2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1175,1175,1029,,matched,3,datasetName;canonicalName;decimalLatitude,agui,eleginops maclovinus,NA,NA,isla huemules,-45.9666666667,-73.75,Rademacher K. 2007. ,1070,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
