CM_row_id,prim_key,correccion,Remove_from_master,.locality,.decimalLatitude,.decimalLongitude,.year,.eventDate,.recordedBy,.individualCount,.bibliographicCitation,.canonicalName,.scientificName
170,agui | MAguilar.Lit.Review.1318,41.26666667/71.6333333,,,-41.26666667,-71.6333333,,,,,,,
171,agui | MAguilar.Lit.Review.582,"no podemos localizar el Rio Glyn, el pto cae en la tierra",,,-43.519107,-71.596377,,,,,,,
172,agui | MAguilar.Lit.Review.938,coord 41.5167/71.5833,,,-41.5167,-71.5833,,,,,,,
173,agui | MAguilar.Lit.Review.913,coord 41.5167/71.5833,,,-41.5167,-71.5833,,,,,,,
174,agui | MAguilar.Lit.Review.1313,coord 41.5167/71.5833,,,-41.5167,-71.5833,,,,,,,
175,agui | MAguilar.Lit.Review.1325,coord 41.5167/71.5833,,,-41.5167,-71.5833,,,,,,,
176,agui | MAguilar.Lit.Review.943, 41.51624/71.58072; year 1997; recordedBy D. Milano,,,-41.51624,-71.58072,1997,,Daniela Milano,,,,
177,agui | MAguilar.Lit.Review.918, 41.51624/71.58072; year 1997; recordedBy D. Milano,,,-41.51624,-71.58072,1997,,Daniela Milano,,,,
178,agui | MAguilar.Lit.Review.36, 41.51624/71.58072; year 1997; recordedBy D. Milano,,,-41.51624,-71.58072,1997,,Daniela Milano,,,,
179,agui | MAguilar.Lit.Review.126,coord  41.51169/71.55572,,,-41.51169,-71.55572,,,,,,,
180,agui | MAguilar.Lit.Review.127,coord 41.5114/71.5535,,,-41.5114,-71.5535,,,,,,,
181,agui | MAguilar.Lit.Review.627,registro dudoso¡¡¡ no tenemos registro de pejerrey en el Steffen,,,,,,,,,,,
182,agui | MAguilar.Lit.Review.628,"Esto puede ser un error, dudamos que en esta cuenca haya Olivaichthys viedmensis",remove,,,,,,,,,,
183,agui | MAguilar.Lit.Review.629,nunca se pesco perca en toda la cuenca del Rio Manso dato erroneo,remove,,,,,,,,,,
184,agui | MAguilar.Lit.Review.644,No tenemos registro que en Lago Steffen haya S. salar,remove,,,,,,,,,,
185,agui | MAguilar.Lit.Review.624,41.3723/71.7622,,,-41.3723,-71.7622,,,,,,,
186,agui | MAguilar.Lit.Review.630,coord  41.3721/71.7753,,,-41.3721,-71.7753,,,,,,,
187,agui | MAguilar.Lit.Review.631,coord  41.366667/71.766667,,,-41.366667,-71.766667,,,,,,,
188,inat | https://www.inaturalist.org/observations/243887750,Locality: Río Epuyén,,Río Epuyén,,,,,,,,,
189,inat | https://www.inaturalist.org/observations/72226604,Locality Lago Mascardi; canonical Name: Oncorhychus mykiss,,Lago Mascardi,,,,,,,,Oncorhychys mykiss,"Oncorhynchus mykiss (Walbaum, 1792)"
190,agui | MAguilar.Lit.Review.167,"year1997, eventDate21/02/1997; recordedBy D. Milano",,,,,1997,1997-02-21,Daniela Milano,,,,
