"locality","decimalLatitude","decimalLongitude","year","eventDate","scientificName","individualCount","samplingProtocol","locationRemarks","recordedBy","associatedReferences","license","rightsHolder","accessRights","bibliographicCitation","datasetName","basisOfRecord"
"Río Baker",-47.73266296,-73.23440303,2014,2014-04-15,"Aplochiton taeniatus",3,"Casting Net","Baker","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Baker",-47.73266296,-73.23440303,2014,2014-04-15,"Oncorhynchus mykiss",2,"Casting Net","Baker","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Baker",-47.73266296,-73.23440303,2014,2014-04-15,"Oncorhynchus tshawytscha",7,"Casting Net","Baker","Cristian Correa, Maryse Boisjoly","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Blanco",-53.96981296,-68.95179399,2015,2015-02-09,"Oncorhynchus tshawytscha",23,"Casting Net","Río Blanco","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Blanco",-53.96981296,-68.95179399,2015,2015-02-09,"Salmo trutta",4,"Casting Net","Río Blanco","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Blanco",-53.96979804,-68.95417001,2015,2015-02-09,"Oncorhynchus tshawytscha",26,"Gill Net Salmonera, NA","Río Blanco","Cristian Correa, Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Blanco",-53.96979804,-68.95417001,2015,2015-02-09,"Salmo trutta",2,"Gill Net Salmonera, NA","Río Blanco","Cristian Correa, Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Blas",-46.5335,-72.7107,2022,2022-12-05,"Oncorhynchus masou",4,"Casting Net","Lago General Carrera","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Blas",-46.5335,-72.7107,2022,2022-12-05,"Oncorhynchus mykiss",5,"Casting Net","Lago General Carrera","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Blas",-46.5335,-72.7107,2022,2022-12-05,"Salmo trutta",2,"Casting Net","Lago General Carrera","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Blas",-46.5335,-72.7107,2022,2023-01-16,"Salmo trutta",13,"Casting Net","Lago General Carrera","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Blas",-46.5335,-72.7107,2023,2023-01-16,"Galaxias platei",12,"Electric fishing","Lago General Carrera","Cristian Correa, Julien Cucherousset, Simon Blanchet, Didier Galop","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Blas",-46.5335,-72.7107,2023,2023-01-16,"Oncorhynchus masou",14,"Electric fishing, Casting Net","Lago General Carrera","Cristian Correa, Julien Cucherousset, Simon Blanchet, Didier Galop, Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Calavera",-53.94727897,-70.12674403,2015,2015-02-15,"Galaxias maculatus",1,"Gill Net Aplochitonera 3mX10m","Río Calavera","Cristian Correa, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Calavera",-53.94727897,-70.12674403,2015,2015-02-15,"Salmo trutta",2,"Gill Net Aplochitonera 3mX10m","Río Calavera","Cristian Correa, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Calavera",-53.946366,-70.127541,2015,2015-02-14,"Galaxias maculatus",16,"Dip net","Río Calavera","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta",-53.20771,-71.614839,2015,2015-02-27,"Galaxias maculatus",15,"Electric fishing","Río Caleta","Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta",-53.20771,-71.614839,2015,2015-02-27,"Oncorhynchus kisutch",23,"Electric fishing","Río Caleta","Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta",-53.20771,-71.614839,2015,2015-02-27,"Salmo trutta",1,"Electric fishing","Río Caleta","Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta",-53.206915,-71.61602,2015,2015-02-27,"Oncorhynchus kisutch",1,"Electric fishing","Río Caleta","Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta",-53.206915,-71.61602,2015,2015-02-27,"Salmo trutta",1,"Electric fishing","Río Caleta","Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta",-53.206176,-71.618395,2015,2015-02-27,"Galaxias maculatus",4,"Casting Net","Río Caleta","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta",-53.206176,-71.618395,2015,2015-02-27,"Oncorhynchus kisutch",12,"Casting Net","Río Caleta","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta",-53.206176,-71.618395,2015,2015-02-27,"Salmo trutta",4,"Casting Net","Río Caleta","Cristian Correa","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta",-53.205409,-71.619296,2015,2015-02-27,"Oncorhynchus kisutch",9,"Electric fishing","Río Caleta","Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta",-53.205409,-71.619296,2015,2015-02-27,"Salmo trutta",1,"Electric fishing","Río Caleta","Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta",-53.205073,-71.619746,2015,2015-02-28,"Patagonotothen sp",2,"Spinning","Río Caleta","Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta",-53.204079,-71.62220296,2015,2015-02-28,"Eleginops maclovinus",1,"Gill Net Aplochitonera 1.5mX7m","Río Caleta","Cristian Correa, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta",-53.204079,-71.62220296,2015,2015-02-28,"Odontesthes smitti",1,"Gill Net Aplochitonera 1.5mX7m","Río Caleta","Cristian Correa, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta",-53.204079,-71.62220296,2015,2015-02-28,"Oncorhynchus mykiss",1,"Gill Net Aplochitonera 1.5mX7m","Río Caleta","Cristian Correa, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta",-53.204079,-71.62220296,2015,2015-02-28,"Patagonotothen sp",1,"Gill Net Aplochitonera 1.5mX7m","Río Caleta","Cristian Correa, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta",-53.204079,-71.62220296,2015,2015-02-28,"Salmo trutta",3,"Gill Net Salmonera","Río Caleta","Cristian Correa, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta, Tierra del Fuego",-53.81792198,-70.17164002,2015,2015-02-17,"Galaxias maculatus",1,"Electric fishing","Río Caleta Tierra del Fuego","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
"Río Caleta, Tierra del Fuego",-53.81792198,-70.17164002,2015,2015-02-17,"Salmo trutta",9,"Electric fishing","Río Caleta Tierra del Fuego","Cristian Correa, Maryse Boisjoly, Jonathan Poblete","","CC BY-NC 4.0","Cristián Correa, orcid.org/0000-0002-8608-6858","not-for-profit use only","Correa, Cristián, Maryse Boisjoly (2023) Base de datos empírica de peces de Chile. Valdivia, Chile.","Fish Database Correa-Boisjoly","Ocurrence"
