"This database is one of the products of the following grants: Carlos García de Leániz (PI), Gonzalo Gajardo, et al. Department for Environment Food and Rural Affairs (DEFRA, UK). Darwin Initiative Grants 15020 (2006-2009) and EIDPO041 (2010-2012).",,,,,,,,,,,,,
Watershed,Location,Station,Latitude,Longitude,Date,Day,Month,Year,Species,Collected by,n.genotyped,n.not.genotyped,n.individuals
Río Bueno,Lago Rupanco,LR,-40.81804167,-72.48393889,08/05/83,8,5,1983,Oncorhynchus mykiss,Angler,,2,2
Río Bueno,Laguna de Chaca,LMAI,-40.2776,-72.04204444,13/12/88,13,12,1988,Oncorhynchus mykiss,Angler,,1,1
Río Bueno,Marine Harvest - Lago puyehue,MHLP,-40.68298333,-72.46075833,39209,7,5,2007,Salmo salar,,,9,9
Río Bueno,Marine Harvest - Lago puyehue,MHLP,-40.68298333,-72.46075833,39216,14,5,2007,Salmo salar,,,3,3
Río Bueno,Marine Harvest - Lago puyehue,MHLP,-40.68298333,-72.46075833,39218,16,5,2007,Salmo salar,,,5,5
Río Bueno,Marine Harvest - Lago puyehue,MHLP,-40.68298333,-72.46075833,39371,16,10,2007,Salmo salar,,,12,12
Río Bueno,Marine Harvest - Lago puyehue,MHLP,-40.68298333,-72.46075833,39392,6,11,2007,Salmo salar,,,16,16
Río Bueno,Nalca,RNC22,-40.89397222,-72.33863889,39911,8,4,2009,Oncorhynchus mykiss,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,6,6
Río Bueno,Ñilque,RÑIL,-40.784,-72.43465,39855,11,2,2009,Oncorhynchus mykiss,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,33,33
Río Bueno,Ñilque,RÑIL,-40.784,-72.43465,39855,11,2,2009,Salmo trutta,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,36,36
Río Bueno,Pescadero,RP55,-40.71371,-72.40508,39856,12,2,2009,Oncorhynchus mykiss,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,68,68
Río Bueno,Pescadero,RP55,-40.71371,-72.40508,39856,12,2,2009,Oncorhynchus tshawytscha,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,12,12
Río Bueno,Pescadero,RP55,-40.71371,-72.40508,39856,12,2,2009,Percichthys trucha,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,1,1
Río Bueno,Pescadero,RP55,-40.71371,-72.40508,39856,12,2,2009,Salmo trutta,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,14,14
Río Bueno,PichiChanlelfu,RCHF,-40.42156,-72.1858,39856,12,2,2009,Oncorhynchus mykiss,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,1,1
Río Bueno,PichiChanlelfu,RCHF,-40.42156,-72.1858,39856,12,2,2009,Salmo salar,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,38,38
Río Bueno,PichiChanlelfu,RCHF,-40.42156,-72.1858,39856,12,2,2009,Salmo trutta,"José del Carmen Sanzana, Ana María Cerda, Gabriel Orellana",,59,59
Río Bueno,Piedras Negras 3,RPN20,-40.88808333,-72.46694444,39910,7,4,2009,Oncorhynchus mykiss,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,23,23
Río Bueno,Piedras Negras 3,RPN20,-40.88808333,-72.46694444,39910,7,4,2009,Oncorhynchus tshawytscha,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,6,6
Río Bueno,Piedras Negras 3,RPN20,-40.88808333,-72.46694444,39910,7,4,2009,Salmo salar,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,3,3
Río Bueno,Piedras Negras 3,RPN20,-40.88808333,-72.46694444,39910,7,4,2009,Salmo trutta,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,8,8
Río Bueno,Piscicultura Cuinco,PC,-40.19652636,-72.62577336,2008-01-09,8,1,2009,Oncorhynchus mykiss,"Patricia Beristain, LZ, AC",,50,50
Río Bueno,Piscicultura Cuinco,PCA,-40.19652636,-72.62577336,39826,13,1,2009,Oncorhynchus mykiss,,,30,30
Río Bueno,Piscicultura Río Pescadero,PP,-40.71548611,-72.40154444,2013-11-08,13,11,2008,Salmo salar,"Patricia Beristain, DI",,50,50
Río Bueno,Río Blanco,RBLA,-40.21637222,-72.00465278,29/03/90,29,3,1990,Salmo trutta,Angler,,1,1
Río Bueno,Río Blanco - Rup,RBL21,-40.89125,-72.26605556,39911,8,4,2009,Oncorhynchus mykiss,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,62,62
Río Bueno,Río Blanco - Rup,RBL21,-40.89125,-72.26605556,39911,8,4,2009,Percichthys trucha,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,1,1
Río Bueno,Río Blanco - Rup,RBL21,-40.89125,-72.26605556,39911,8,4,2009,Salmo trutta,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,5,5
Río Bueno,Río Bonito,RBO18,-40.886,-72.46430556,39910,7,4,2009,Galaxias maculatus,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,1,1
Río Bueno,Río Bonito,RBO18,-40.886,-72.46430556,39910,7,4,2009,Galaxias platei,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,11,11
Río Bueno,Río Bonito,RBO18,-40.886,-72.46430556,39910,7,4,2009,Oncorhynchus mykiss,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,20,20
Río Bueno,Río Bonito,RBO18,-40.886,-72.46430556,39910,7,4,2009,Oncorhynchus tshawytscha,"José del Carmen Sanzana, Delphine Vanhaecke, Ana María Cerda",,6,6
