"occurrenceID","decimalLongitude","decimalLatitude","locality","scientificName","year","eventDate","bibliographicCitation","eventRemarks","license","datasetName","datasetName_tmp","basisOfRecord"
"CCorrea.Lit.Review.191",-72.47477,-41.96528,"Río Cuchildeo","Oncorhynchus mykiss",2000,"2000","Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile.","2000 Caught in every sampling","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.192",-72.47477,-41.96528,"Río Cuchildeo","Salmo trutta",2000,"2000","Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile.","2000 Caught in every sampling","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.193",-72.47477,-41.96528,"Río Cuchildeo","Salmo salar",2000,"2000","Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile.","2000 Atlantic's were caught in May and November 2000.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.194",-72.47477,-41.96528,"Río Cuchildeo","Oncorhynchus tshawytscha",2000,"2000","Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile.","2000 Chinooks were caught in November 2000","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.195",-72.47477,-41.96528,"Río Cuchildeo","Oncorhynchus kisutch",2000,"2000","Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile.","2000 Cohos were caught in February and May 2000","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.196",-72.47477,-41.96528,"Río Cuchildeo","Lamprey",2000,"2000","Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile.","2000 ","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.197",-72.50077,-41.95095,"Río Cuchildeo-afluente","Salmo trutta",1999,"1999/2001","Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile.","1999, 2000 Caught in every sampling.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.198",-72.39183,-41.89703,"Río Negro-afluente","Oncorhynchus mykiss",2000,"2000","Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile.","2000 Caught in all but one sampling Geolocation: The position of the point is not accurate; coordinates were not reported.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.199",-72.39183,-41.89703,"Río Negro-afluente","Salmo trutta",2000,"2000","Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile.","2000 Caught in all but one sampling Geolocation: The position of the point is not accurate; coordinates were not reported.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.200",-72.39183,-41.89703,"Río Negro-afluente","Salmo salar",2000,"2000","Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile.","2000 May 2000. Geolocation: The position of the point is not accurate; coordinates were not reported.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.201",-72.39183,-41.89703,"Río Negro-afluente","Oncorhynchus tshawytscha",2000,"2000","Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile.","2000 Chinooks were caught in May, August and November 2000 Geolocation: The position of the point is not accurate; coordinates were not reported.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.202",-72.39183,-41.89703,"Río Negro-afluente","Oncorhynchus kisutch",2000,"2000","Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile.","2000 February 2000. Geolocation: The position of the point is not accurate; coordinates were not reported.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.203",-72.55918,-41.98041,"Río Pichicolo","Oncorhynchus mykiss",2000,"2000","Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile.","2000 Caught in every sampling","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.204",-72.55918,-41.98041,"Río Pichicolo","Salmo trutta",2000,"2000","Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile.","2000 Caught in every sampling","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.205",-72.55918,-41.98041,"Río Pichicolo","Oncorhynchus tshawytscha",2000,"2000","Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile.","2000 Caught in May and November 2000.","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
"CCorrea.Lit.Review.206",-72.55918,-41.98041,"Río Pichicolo","Galaxias maculatus",2000,"2000","Doris Soto B.and Ivan Arismendi V. (2001) Evaluacion, ordenamiento y manejo  del potencial biológico para la pesca deportiva de la región de los lagos.. Gobierno Regional de Los Lagos Fondo Nacional de Desarrollo Regional (FNDR) código B.I.P. 20109755-0; Universidad Austral de Chile.","2000 ","CC BY-NC 4.0","Literature review dataset of Chilean freshwater and diadromous fish occurrences, compiled by C. Correa (v2009)","FishGIS_metaDatabase_CCorrea","Occurrence"
