"decimalLongitude","decimalLatitude","locality","scientificName","year","bibliographicCitation","eventRemarks","license","datasetName","basisOfRecord"
-72.36269,-43.33927,"Río Café","Salmo trutta",2000,"Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001) NA. Type of document: Unpub. Report Notes: NA","2000, 2001  Geolocation: The position of the point is not accurate; it is based on general figure.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.36269,-43.33927,"Río Café","Salmo trutta",2000,"Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001) NA. Type of document: Unpub. Report Notes: NA","2000, 2001  Geolocation: The position of the point is not accurate; it is based on general figure.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.44188,-43.12616,"Río Fierro","Salmo trutta",2000,"Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001) NA. Type of document: Unpub. Report Notes: NA","2000, 2001  Geolocation: The position of the point is not accurate; it is based on general figure.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.44188,-43.12616,"Río Fierro","Salmo trutta",2000,"Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001) NA. Type of document: Unpub. Report Notes: NA","2000, 2001  Geolocation: The position of the point is not accurate; it is based on general figure.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.39943,-43.30142,"Río Puente Naranjo 2","Oncorhynchus mykiss",2000,"Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001) NA. Type of document: Unpub. Report Notes: NA","2000, 2001  Geolocation: The position of the point is not accurate; it is based on general figure.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-72.39943,-43.30142,"Río Puente Naranjo 2","Oncorhynchus mykiss",2000,"Soto, D. (2002) Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la X región.. Proyecto FIP  2000-24 (2000-2001) NA. Type of document: Unpub. Report Notes: NA","2000, 2001  Geolocation: The position of the point is not accurate; it is based on general figure.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-70.06845,-53.95527,"Río Cóndor, cauce central y afluentes.","Galaxias maculatus",1995,"Vila, Irma; Leopoldo Fuentes, Marcelo Saavedra (1999) Ictiofauna en los sistemas límnicos de la isla grande, Tierra del Fuego, Chile.. Revista Chilena de Historia Natural 72: 273-284. Type of document: Paper Notes: NA","1995  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-70.06845,-53.95527,"Río Cóndor, cauce central y afluentes.","Galaxias maculatus",1995,"Vila, Irma; Leopoldo Fuentes, Marcelo Saavedra (1999) Ictiofauna en los sistemas límnicos de la isla grande, Tierra del Fuego, Chile.. Revista Chilena de Historia Natural 72: 273-284. Type of document: Paper Notes: NA","1995  Geolocation: The position of the point is not accurate.","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-69.80318,-53.68642,"Río Bueno, cauce central y afluentes.","Oncorhynchus mykiss",1995,"Vila, Irma; Leopoldo Fuentes, Marcelo Saavedra (1999) Ictiofauna en los sistemas límnicos de la isla grande, Tierra del Fuego, Chile.. Revista Chilena de Historia Natural 72: 273-284. Type of document: Paper Notes: NA","1995 ","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
-69.80318,-53.68642,"Río Bueno, cauce central y afluentes.","Oncorhynchus mykiss",1995,"Vila, Irma; Leopoldo Fuentes, Marcelo Saavedra (1999) Ictiofauna en los sistemas límnicos de la isla grande, Tierra del Fuego, Chile.. Revista Chilena de Historia Natural 72: 273-284. Type of document: Paper Notes: NA","1995 ","CC BY-NC 4.0","FishGIS_metaDatabase_CCorrea","Ocurrence"
