decimalLongitude,decimalLatitude,Site_ID,ODBC:FishGIS_metaDatabase AllFish_Ref_ID,ODBC:FishGIS_metaDatabase AllFish_Author,ODBC:FishGIS_metaDatabase AllFish_OLD_SITE_ID,ODBC:FishGIS_metaDatabase AllFish_Site_Name,ODBC:FishGIS_metaDatabase AllFish_Notes,ODBC:FishGIS_metaDatabase AllFish_Site_Precision,ODBC:FishGIS_metaDatabase AllFish_Years,ODBC:FishGIS_metaDatabase AllFish_Species,ODBC:FishGIS_metaDatabase AllFish_Abund_Percent
-73.28719,-40.29782,"56","6",Doris Soto B.and Ivan Arismendi V.,"04.14",Río Bueno,,The position of the point based on reported coordinates although do not correspond to Río Bueno.,"2000",Cyprinus carpio,"1,3"
-73.28719,-40.29782,"56","6",Doris Soto B.and Ivan Arismendi V.,"04.14",Río Bueno,,The position of the point based on reported coordinates although do not correspond to Río Bueno.,"2000",Cyprinus carpio,"1,3"
-73.10374,-40.36612,"57","6",Doris Soto B.and Ivan Arismendi V.,"04.15",Río Tramaihue,,The position of the point indicates the approximate position of the river.,"2000",Lamprey,"1,8"
-73.10374,-40.36612,"57","6",Doris Soto B.and Ivan Arismendi V.,"04.15",Río Tramaihue,,The position of the point indicates the approximate position of the river.,"2000",Lamprey,"1,8"
-72.47477,-41.96528,"59","6",Doris Soto B.and Ivan Arismendi V.,"04.17",Río Cuchildeo,,,"2000",Lamprey,"0,72"
-72.47477,-41.96528,"59","6",Doris Soto B.and Ivan Arismendi V.,"04.17",Río Cuchildeo,,,"2000",Lamprey,"0,72"
-72.50077,-41.95095,"60","6",Doris Soto B.and Ivan Arismendi V.,"04.18",Río Cuchildeo-afluente,,,"1999, 2000",Salmo trutta,"100"
-72.50077,-41.95095,"60","6",Doris Soto B.and Ivan Arismendi V.,"04.18",Río Cuchildeo-afluente,,,"1999, 2000",Salmo trutta,"100"
-72.39183,-41.89703,"61","6",Doris Soto B.and Ivan Arismendi V.,"04.19",Río Negro-afluente,,"The position of the point is not accurate; coordinates were not reported.","2000",Oncorhynchus kisutch,"1,29"
-72.39183,-41.89703,"61","6",Doris Soto B.and Ivan Arismendi V.,"04.19",Río Negro-afluente,,"The position of the point is not accurate; coordinates were not reported.","2000",Oncorhynchus kisutch,"1,29"
-72.55918,-41.98041,"62","6",Doris Soto B.and Ivan Arismendi V.,"04.20",Río Pichicolo,,,"2000",Galaxias maculatus,"7,03"
-72.55918,-41.98041,"62","6",Doris Soto B.and Ivan Arismendi V.,"04.20",Río Pichicolo,,,"2000",Galaxias maculatus,"7,03"
-72.54370,-40.62935,"63","6",Doris Soto B.and Ivan Arismendi V.,"04.21",Puente 1,,,"1999",Oncorhynchus mykiss,"100"
-72.54370,-40.62935,"63","6",Doris Soto B.and Ivan Arismendi V.,"04.21",Puente 1,,,"1999",Oncorhynchus mykiss,"100"
-72.35430,-40.63934,"64","6",Doris Soto B.and Ivan Arismendi V.,"04.22",Río Taique,,The position of the point is based on coordinates.,"1999",Salmo salar,"66,67"
-72.35430,-40.63934,"64","6",Doris Soto B.and Ivan Arismendi V.,"04.22",Río Taique,,The position of the point is based on coordinates.,"1999",Salmo salar,"66,67"
-72.49399,-40.62464,"65","6",Doris Soto B.and Ivan Arismendi V.,"04.23",Río Mantilhue,,The position of the point is based on coordinates.,"1999",Salmo trutta,"75"
-72.49399,-40.62464,"65","6",Doris Soto B.and Ivan Arismendi V.,"04.23",Río Mantilhue,,The position of the point is based on coordinates.,"1999",Salmo trutta,"75"
-72.40058,-40.63990,"66","6",Doris Soto B.and Ivan Arismendi V.,"04.24",Lago Puyehue,Only reported the samplings not included in Soto 2002 (FIP 2000-24),The position of the point is not accurate.,"1999, 2000",Percichthys trucha,"25,34"
-72.36029,-40.29618,"67","6",Doris Soto B.and Ivan Arismendi V.,"04.25",Lago Ranco,Only samplings not reported in Soto 2002 (FIP 2000-24) are reported in this record.,Not accurate,"1999, 2000",Percichthys trucha,"0,85"
-72.41175,-43.19760,"68","6",Doris Soto B.and Ivan Arismendi V.,"04.26",Lago Yecho,Only samplings not reported in Soto 2002 (FIP 2000-24) are reported in this record.,Not accurate.,"2001",Salmo salar,"7,41"
-72.25175,-40.15292,"69","6",Doris Soto B.and Ivan Arismendi V.,"04.27",Río Caunahue,Only samplings not reported in Soto 2002 (FIP 2000-24) are reported in this record.,,"2001",Oncorhynchus mykiss,"100"
-72.25175,-40.15292,"69","6",Doris Soto B.and Ivan Arismendi V.,"04.27",Río Caunahue,Only samplings not reported in Soto 2002 (FIP 2000-24) are reported in this record.,,"2001",Oncorhynchus mykiss,"100"
-72.23548,-40.33060,"70","6",Doris Soto B.and Ivan Arismendi V.,"04.28",Río Collico,,,"1999, 2000",Oncorhynchus mykiss,"100"
-72.23548,-40.33060,"70","6",Doris Soto B.and Ivan Arismendi V.,"04.28",Río Collico,,,"1999, 2000",Oncorhynchus mykiss,"100"
-72.26966,-40.33806,"71","6",Doris Soto B.and Ivan Arismendi V.,"04.29",Río Futangue,See description of site in Pag. 38.,"Approximate, based on coordenates.","2000",Aplochiton taeniatus,"27,93"
