Ref_ID,Origin of data,Type of document,Author,Year,Title,Journal or Editorial,Vol  Pag,To be reviewed,OLD REF_ID,Notes
11,,Paper,"Comte S., Irma Vila",1992,Spawning of Basilichthys microlepidotus (Jenyns),Journal of Fish Biology,41: 971-981,,17,
12,,Paper,CORFO-IFOP,1990,Un legado a la salmonicultura. Proyecto de introducción de salmón del pacífico en Aysén.,Chile Pesquero,1: 51-56,,41,
13,,Unpub. Report,Edwin Niklitschek and Eduardo Aedo,2002,Estudio del ciclo reproductivo de las principales especies objetivo de la pesca deportiva en la XI región. FIP 2000-25,FIP 2000-25,75pp.,Sampling Method?,64,
14,,Unpub. Report,Gonzalo Gajardo,1997,"Caracterización genética, hematologica y química sanguinea de salmonideos silvestres y de cultivo.",FIP IT 95-35,61,"X Preguntar coordenadas, método y fecha de colecta de muestras y resultados de la colecta incluyendo especies y su abundancia.",66,
15,,Unpub. Report,Doris Soto and Fernando Jara,1996,Evaluación de salmonideos de vida libre en aguas interiores de las regiones X y XI.,FIP IT 95-31,159pp.,,67,
16,Mixed,Unpub. Report,"Zama, Akira and Eduardo Cárdenas G.",1984,"Introduction into Aysén Chile of the pacific salmon. N°9 Descriptive catalogue of marine and freshwater fishes from the Aysén region, southern Chile, with zoogeographical notes on fish fauna.",SERNAP - JICA,82pp.,,68,
17,,Unpub. Report,Misuo Sakai and Ambrosio C. Espinós,1992,"On the trout resouces in lake Buenos Aires, southern Argentina. Informe técnico N°4, Agencia de Cooperación Internacional del Japón (JICA)","Editorial Hemisferio Sur S.A., Buenos Aires, Argentina.",26pp.,,69,
18,,Unpub. Report,Paul C. Rizzo et al.,2001,Proyecto Hidroeléctrico Mapocho y Molina (EIA),CONAMA,259,,70,
19,,EIA,M & P Ltda.,2002,Estudio de Impacto Ambiental (EIA) proyecto central hidroeléctrica de Pasada la Higuera.,CONAMA E6-138,,,71,
20,,Paper,"Scasso, F. & H. Campos",1998,"Oncorhynchus mykiss (Pisces, Salmonidae) populations in lakes of different trophic state levels of the Biobio River Basin, Chile.",Verh. Internat.Verein.Limnol.,26: 2320-23.,,72,
