"occurrenceID","locality","bibliographicCitation","associatedReferences","institutionID","eventRemarks","basisOfRecord","coordinateUncertaintyInMeters","eventDate","year","decimalLongitude","decimalLatitude","scientificName","individualCount","samplingProtocol","recordedBy","otherCatalogNumbers","datasetName","datasetName_tmp","datasetID","datasetKey","license","accessRights"
"MMA:ICT:0000040","Rio Yelcho. Chaiten Viejo. Rio Chaiten.","Base Datos EULA UdeC, Base Datos 2008","","Centro EULA UDEC","Centro EULA UDEC (Evelyn Habit)","Occurrence",100,"2008-3-12","2008",-72.726,-42.968,"Aplochiton taeniatus",1,"Red Encierro","Evelyn Habit","gbifID:4463086220","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000054","Puerto Aysén. Costeras del Canal Baker.","McDowall, R.M., and Nakaya, K. 1987. Identity of the galaxioid fishes of the genus Aplochiton Jenys from southern Chile. Japan Journal of Ichthyology 34: 377–383.","","","Compiled by Irma Vila, Laboratorio Limnología U. de Chile","Occurrence",NA,"1982-01","1982",-73.383,-48.217,"Aplochiton taeniatus",2,NA,NA,"gbifID:4463086187","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000055","Estero Ventisquero. Costeras del Canal Baker.","McDowall, R.M., and Nakaya, K. 1987. Identity of the galaxioid fishes of the genus Aplochiton Jenys from southern Chile. Japan Journal of Ichthyology 34: 377–383.","","","Compiled by Irma Vila, Laboratorio Limnología U. de Chile","Occurrence",NA,"1982-01","1982",-73.583,-48.25,"Aplochiton taeniatus",76,NA,NA,"gbifID:4463086186","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000056","Lago Elizalde. Desague Lago Elizalde.","Campos, H. 1984. Gonswana and Neotropical Galaxioid fish biogeography. In Evolutionary Ecology of Neotropical Freshwater Fishes. Edited by T.M. Zaret. Junk Publisher, The Hague Netherland.","","Colección del Instituto de Zoología de la Universidad Austral de Chile (IZUA)","Compiled by Irma Vila, Laboratorio Limnología U. de Chile.","Occurrence",NA,NA,NA,-72.33,-45.753,"Aplochiton taeniatus",NA,NA,NA,"gbifID:4463086185","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000063","Lago Todos los Santos. Lago Todos Los Santos.","McDowall, R.M. 1971. Fishes of the family Aplochitonidae. Journal of The Royal Society of New Zealand: 1(1):31-52.","","Museo Universidad de Indiana","Compiled by Irma Vila, Laboratorio Limnología U. de Chile.","Occurrence",NA,NA,NA,-72.033,-41.083,"Aplochiton taeniatus",NA,NA,NA,"gbifID:4463086157","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000064","Río Petrohue. Por debajo de los Saltos de Petrohue. Rio Petrohue Entre Desague Lago Todos Los Santos y Rio Hueñu-Hueñu.","McDowall, R.M. 1971. Fishes of the family Aplochitonidae. Journal of The Royal Society of New Zealand: 1(1):31-52.","","Museo Universidad de Indiana","Compiled by Irma Vila, Laboratorio Limnología U. de Chile.","Occurrence",NA,NA,NA,-72.473,-41.196,"Aplochiton taeniatus",NA,NA,NA,"gbifID:4463086156","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000065","Lago Toro. Lago del Toro.","McDowall, R.M. 1971. Fishes of the family Aplochitonidae. Journal of The Royal Society of New Zealand: 1(1):31-52.","","Museo Universidad de Indiana","Compiled by Irma Vila, Laboratorio Limnología U. de Chile.","Occurrence",NA,NA,NA,-72.772,-51.216,"Aplochiton taeniatus",NA,NA,NA,"gbifID:4463086155","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000066","Canal Beagle. Islas Navarino y Gable.","McDowall, R.M. 1971. Fishes of the family Aplochitonidae. Journal of The Royal Society of New Zealand: 1(1):31-52.","","Museo Universidad de Indiana","Compiled by Irma Vila, Laboratorio Limnología U. de Chile.","Occurrence",NA,NA,NA,-68.041,-54.903,"Aplochiton taeniatus",NA,NA,NA,"gbifID:4463086154","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000067","Bahia Wulaia. Isla Navarino. Islas Navarino y Gable.","Moorman, M.C. 2007. The Conservation Implications of Introduced Trout and Beaver onNative Fish in the Cape Horn Biosphere Reserve, ChileT. North Carolina State University.","","MNHN y el Museo de Ciencias Naturales de Carolina del Norte","Compiled by Irma Vila, Laboratorio Limnología U. de Chile.","Occurrence",NA,NA,NA,-68.167,-55.016,"Aplochiton taeniatus",NA,NA,NA,"gbifID:4463086153","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
"MMA:ICT:0000069","Lago La Paloma. Desague Laguna La Paloma.","Base Datos EULA UdeC, Base Datos 2005","","Centro EULA UDEC","Centro EULA UDEC (Evelyn Habit)","Occurrence",100,"2005-1","2005",-72.069,-45.877,"Aplochiton zebra",4,"Pesca Electrica","Juan Jose Ortiz","gbifID:4463086151","Habit E, Vila I, Contreras L. M, Dyer B, Correa C, Naretto J, Contreras V, Amaya L, Villagran C (2023). Fauna Íctica Nativa Continental de Chile. Ministerio del Medio Ambiente de Chile. Occurrence dataset https://doi.org/10.15468/cxb957","MMA2017","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","45c3d8d2-7352-4dd1-aefd-c21e0b6b004e","CC BY-NC 4.0","consultar con institución/autor"
