gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4463090643	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0004185	Animalia	Chordata		Perciformes	Perciliidae	Percilia	Percilia irwini		SPECIES	Percilia irwini Eigenmann, 1928	Percilia irwini	Eigenmann, 1928	CL		Región del Bío-Bío	PRESENT	2	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-36.847	-73.056							2003-08		8	2003	2386040	2386040	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Evelyn Habit			2025-10-08T02:32:38.469Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090642	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0004193	Animalia	Chordata		Perciformes	Perciliidae	Percilia	Percilia irwini		SPECIES	Percilia irwini Eigenmann, 1928	Percilia irwini	Eigenmann, 1928	CL		Región del Bío-Bío	PRESENT	15	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-37.865	-72.133							2009-10-20	20	10	2009	2386040	2386040	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Priscila Piedra			2025-10-08T02:32:38.469Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090641	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0004194	Animalia	Chordata		Perciformes	Perciliidae	Percilia	Percilia irwini		SPECIES	Percilia irwini Eigenmann, 1928	Percilia irwini	Eigenmann, 1928	CL		Región del Bío-Bío	PRESENT	10	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-37.851	-72.157							2009-10-20	20	10	2009	2386040	2386040	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Priscila Piedra			2025-10-08T02:32:38.469Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090640	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0004191	Animalia	Chordata		Perciformes	Perciliidae	Percilia	Percilia irwini		SPECIES	Percilia irwini Eigenmann, 1928	Percilia irwini	Eigenmann, 1928	CL		Región del Bío-Bío	PRESENT	5	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-37.861	-72.134							2009-10-20	20	10	2009	2386040	2386040	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Priscila Piedra			2025-10-08T02:32:38.469Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090639	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0004192	Animalia	Chordata		Perciformes	Perciliidae	Percilia	Percilia irwini		SPECIES	Percilia irwini Eigenmann, 1928	Percilia irwini	Eigenmann, 1928	CL		Región del Bío-Bío	PRESENT	1	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-37.85	-72.145							2009-10-20	20	10	2009	2386040	2386040	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Priscila Piedra			2025-10-08T02:32:38.469Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090638	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0004190	Animalia	Chordata		Perciformes	Perciliidae	Percilia	Percilia irwini		SPECIES	Percilia irwini Eigenmann, 1928	Percilia irwini	Eigenmann, 1928	CL		Región del Bío-Bío	PRESENT	10	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-37.868	-72.132							2009-10-20	20	10	2009	2386040	2386040	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Priscila Piedra			2025-10-08T02:32:38.469Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090637	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001919	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	68	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-51.414	-73.093							2009-07-27	27	7	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.469Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090636	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001918	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	22	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-51.235	-72.973							2009-07-27	27	7	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.469Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090635	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001917	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	61	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-51.212	-72.964							2009-07-27	27	7	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.469Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090634	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001916	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	66	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-51.209	-72.966							2009-07-27	27	7	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.469Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090633	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001915	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	1	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-51.171	-72.955							2009-07-27	27	7	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.469Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090632	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001914	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	18	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-51.181	-72.953							2009-07-27	27	7	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.468Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090631	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001913	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	53	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-51.162	-72.958							2009-07-27	27	7	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.468Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090630	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001912	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	73	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-51.175	-72.955							2009-07-27	27	7	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.468Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090629	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001922	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región del Bío-Bío	PRESENT	4	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-37.868	-72.132							2009-07-27	27	7	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Priscila Piedra		native	2025-10-08T02:32:38.468Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090628	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001921	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región del Bío-Bío	PRESENT	1	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-37.85	-72.171							2009-07-27	27	7	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Priscila Piedra		native	2025-10-08T02:32:38.468Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090627	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0001920	Animalia	Chordata		Osmeriformes	Galaxiidae	Galaxias	Galaxias maculatus		SPECIES	Galaxias maculatus (Jenyns, 1842)	Galaxias maculatus	(Jenyns, 1842)	CL		Región de Magallanes y Antártica Chilena	PRESENT	13	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-51.421	-73.1							2009-07-27	27	7	2009	5214265	5214265	OCCURRENCE	EULA-Chile						CC_BY_NC_4_0	Evelyn Habit	Jorge Gonzalez		native	2025-10-08T02:32:38.468Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090626	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0004199	Animalia	Chordata		Perciformes	Perciliidae	Percilia	Percilia irwini		SPECIES	Percilia irwini Eigenmann, 1928	Percilia irwini	Eigenmann, 1928	CL		Región del Bío-Bío	PRESENT	18	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-36.798	-72.94							1985			1985	2386040	2386040	OCCURRENCE							CC_BY_NC_4_0					2025-10-08T02:32:38.468Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090625	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0004197	Animalia	Chordata		Perciformes	Perciliidae	Percilia	Percilia irwini		SPECIES	Percilia irwini Eigenmann, 1928	Percilia irwini	Eigenmann, 1928	CL		Región del Bío-Bío	PRESENT	16	bf0d80b3-46da-4e60-b1cf-39f2320acb43	-36.784	-72.822							1985			1985	2386040	2386040	OCCURRENCE							CC_BY_NC_4_0					2025-10-08T02:32:38.468Z		CONTINENT_DERIVED_FROM_COORDINATES
4463090624	45c3d8d2-7352-4dd1-aefd-c21e0b6b004e	MMA:ICT:0004198	Animalia	Chordata		Perciformes	Perciliidae	Percilia	Percilia irwini		SPECIES	Percilia irwini Eigenmann, 1928	Percilia irwini	Eigenmann, 1928	CL		Región del Bío-Bío	PRESENT		bf0d80b3-46da-4e60-b1cf-39f2320acb43	-36.797	-72.831							1977			1977	2386040	2386040	OCCURRENCE							CC_BY_NC_4_0		Gloria Arratia;Agusto Chang;Silvina			2025-10-08T02:32:38.468Z		CONTINENT_DERIVED_FROM_COORDINATES
