"id_CC_original","match_id","correcting_match","match_status","match_quality","n_keys_used","n_core_keys_used","n_candidates_final","match_keys_used","datasetName","canonicalName","year","eventDate","locality","decimalLatitude","decimalLongitude","bibliographicCitation","catalogNumber","occurrenceID","institutionCode","Duplicate","Comment",".references",".associatedReferences",".decimalLat",".decimalLon",".locality",".year",".eventDate",".bibliographicCitation",".canonicalName",".scientificName",".catalogNumber",".recordedBy",".occurrenceID","row_status","key_found_in_old","id_in_old","old_composite_key_if_exists","matched_annotation_imported"
"12339","11305",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","oncorhynchus mykiss","2007",NA,"lago monreal 2","-45.8724999998","-72.0208999996","CORREA, C., BRAVO, A","337",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12339___11305",FALSE
"12340","11306",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","salmo trutta","2007",NA,"lago monreal 2","-45.8724999998","-72.0208999996","CORREA, C., BRAVO, A","336",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12340___11306",FALSE
"12351",NA,"5631","no_match","no_match",NA,NA,"0",NA,"fishgis_metadatabase_ccorrea","oncorhynchus keta","1986",NA,"río prat","-52.68588","-72.01994","CORFO-IFOP (1990) Un",NA,NA,NA,NA,"change coordinates to: -51.556418, -72.736240",NA,NA,"-51.556418","-72.73624",NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12351___NA",TRUE
"12355","11315",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","mma2","hatcheria macraei",NA,NA,"río manso. rio manso entre rio steffen y rio puelo","-41.726","-72.019","FuenteReg: Unmack et",NA,NA,NA,"1","associatedReference: (Unmack et al. 2012)",NA,"Unmack et al. 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12355___11315",FALSE
"12356","11316",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","mma2","hatcheria macraei",NA,NA,"río manso. puelo-pacific. rio manso entre rio steffen y rio puelo","-41.726389","-72.018694","FuenteReg: Publicaci",NA,NA,NA,NA,"bibliograph: Unmack et al. 2012. Phylogeography of the catfish Hatcheria macraei reveals a negligible role of drainage divides in structuring populations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new_in_new",FALSE,FALSE,NA,FALSE
"12361","11319",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","oncorhynchus mykiss","2009",NA,"lago monreal2","-45.8701981553","-72.0178639999","Correa, C. and Hendr","283",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12361___11319",FALSE
"12362","11320",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","salmo trutta","2009",NA,"lago monreal2","-45.8701981553","-72.0178639999","Correa, C. and Hendr","294",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12362___11320",FALSE
"12402",NA,"unlink, record via iDigBio","no_match","no_match",NA,NA,"0",NA,"gbif","hatcheria macraei",NA,NA,"argentina","-47","-72",NA,"76889","urn:catalog:cas:ich:76889","cas","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12402___NA",TRUE
"12405","11355",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","oncorhynchus tshawytscha","2016",NA,"río ñireguao","-45.1700400001","-71.9972899999","Muñoz, Nicolas J., R","973",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12405___11355",FALSE
"12406","11356",NA,"matched","3_core","3","3","1","datasetName;canonicalName;decimalLatitude","agui","aplochiton zebra","2007",NA,"lago la paloma","-44.3486666672","-71.987944444","Ortiz-Sandoval, J., ","1034",NA,NA,NA,"change coordinates to -45.904804, -72.098064",NA,NA,"-45.904804","-72.098064",NA,NA,NA,NA,NA,NA,NA,NA,NA,"existing_in_old",TRUE,TRUE,"12406___11356",FALSE
